name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Ṣaghānī, al-Ḥasan ibn Muḥammad, 1181-1252",author,,http://id.loc.gov/authorities/names/n84238396 http://id.loc.gov/authorities/names/n84238396 http://viaf.org/viaf/sourceID/LC%7cn84238396,,,,,,human,al-Ḥasan Ibn-Muḥammad Ṣaġānī,Q12186422,Q12314
"Ibn Malak, ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz",author,,,,,,,,human,ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz ibn Malak,Q116418873,Q3794
ʻAlī ibn al-Ḥasan,author,,,,,,,,,,,
"Ibn ʻAllān, Muḥammad ʻAlī ibn Muḥammad, 1588-1648",author,,,,,,,,human,Muḥammad ʻAlī ibn Muḥammad Ibn ʻAllān,Q16126562,Q12391
"Mardāwī, Yūsuf ibn Muḥammad, 1300 or 1301-1367",author,,,human,Yūsuf ibn Muḥammad Mardāwī,Q131575230,DSNAME7532,Q67818,,,,
"Ibn Rajab, ʻAbd al-Raḥmān ibn Aḥmad, 1336-1393",author,,,human,Ibn Rajab,Q529235,DSNAME7533,Q67819,,,,
"Sakhāwī, Muḥammad ibn ʻAbd al-Raḥmān, 1427 or 1428-1497",author,,,human,Shams al-Din al-Sakhawi,Q4120128,DSNAME7534,Q67820,,,,
"ʻAjlūnī, Ismāʻīl ibn Muḥammad, 1676 or 1677-1748 or 1749",author,عجلوني، اسماعيل بن محمد,,,,,,,human,Ismāʻīl ibn Muḥammad al-ʻAjlūnī,Q12182256,Q63935
"Nawawī, 1233-1277",author,نووي,http://id.loc.gov/authorities/names/n82009538 http://id.loc.gov/authorities/names/n82009538 http://viaf.org/viaf/sourceID/LC%7cn82009538,,,,,,human,Al-Nawawi,Q293571,Q12416
"ʻAjlūnī, Ismāʻīl ibn Muḥammad, 1676 or 1677-1748 or 1749",author,عجلوني، اسماعيل بن محمد,,,,,,,human,Ismāʻīl ibn Muḥammad al-ʻAjlūnī,Q12182256,Q63935
"Nawawī, 1233-1277",author,نووي,http://id.loc.gov/authorities/names/n82009538 http://id.loc.gov/authorities/names/n82009538 http://viaf.org/viaf/sourceID/LC%7cn82009538,,,,,,human,Al-Nawawi,Q293571,Q12416
"Ibn Ḥajar al-ʻAsqalānī, Aḥmad ibn ʻAlī, 1372-1449",author,ابن حجر العسقلاني، احمد بن علي,http://id.loc.gov/authorities/names/n82108960,,,,,,human,Ibn Hajar al-Asqalani,Q471116,Q12295
"Munāwī, ʻAbd al-Raʼūf ibn Tāj al-ʻĀrifīn, -1621",author,مناوي، عبد الرؤوف بن تاج العارفين,http://id.loc.gov/authorities/names/n80013467,,,,,,human,Muhammad al-Munawi,Q3594807,Q12413
"Shāmil, Imām, 1798?-1871",former owner,,,,,,,,human,Imam Shamil,Q244742,Q54324
