title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Ha-mapah; ʻal shulḥan ʻarukh ḥoshen mishpaṭ,המפה,,,Hebrew texts,Q44123,,
Biurim ʻal ha-Torah,באורים על התורה,,,Hebrew texts,Q44123,,
Hilkhot sheḥitah,הלכות שחיטה,Hilkhot sheḥiṭah,הלכות שחיטה,Hilkhot sheḥiṭah,Q76017,,
Derashah le-bar mitsṿah,דרשה לבר מצוה,Bar mitsṿah,בר מצוה,Bar mitzvah sermon,Q76018,,
Ṿidui ha-gadol,וידוי הגדול,Siddur,תפלה,Siddur,Q40025,,
Seder hatarat nedarim ṿe-ḳelalot; le-ʻerev Rosh Ha-shanah,סדר התרת נדרים וקללות,Siddur,תפלה,Siddur,Q40025,,
Ḥabaḳbuḳ ha-navi ʻal shigyonot,חבקבוק הנביא על שגיונות,,,Ḥabaḳbuḳ ha-navi ʻal shigyonot,Q76019,,
Masekhet purim,מסכת פורים,Masekhet purim,מסכת פורים,Purim texts,Q76020,,
Masekhet purim,מסכת פורים,,,Purim texts,Q76020,,
ki-khlot yeni tered ʻeni /,ככלות ייני תרד עיני,,,Hebrew texts,Q44123,,
Shevaḥ la-H.B.H; le- ʻasʹeret ha-dibrot /,"שבח להב""ה",,,Hebrew texts,Q44123,,
Derashot u-piyuṭim,דרשות ופיוטים,,,Sermons;Piyyutim,Q1400;Q76006,,
Hilkhot sheḥiṭah /,הלכות שחיטה,,,Laws for slaughtering,Q76021,,
Mishneh torah; hilkhot ishut 22-25,משנה תורה,,,Mishneh Torah,Q39762,,
"Maḥzor; hashlamot le-defus Cremona, 1560",מחזור,Maḥzor,מחזור,Maḥzor,Q75994,,
"Sefer musar; perush ʻal masekhet Avot, 1:13-17",ספר מוסר,,,Hebrew texts,Q44123,,
Divre Kohelet; meforashim ʻal pi peshuṭam ʻim hakdamah,דברי קהלת,,,Hebrew texts,Q44123,,
Esegesi di Geremia /,,,,Commentary on Jeremiah,Q39136,,
Igeret R. Yehoshuʻa ben Levi; ḳeta',אגרת ר' יהושע בן לוי,Midrash,מדרש,Midrash,Q76015,,
Ḳuntres; ʻal ha-parashiyot asher ḥidashti bi-shenat 1870,קונטרס,Sermons,דרשות,Sermons,Q1400,,
Perush neviʼim le-Radak; Yehoshuʻa 23:5- Melakhim 2 24:2,"פרוש נביאים לרד""ק",,,Hebrew commentary,Q75988,,
Pirushim ʻal ha-zohar; Idra raba ṿe-Idra zuṭa,פרושים על הזהר,Zohar (commentary),זהר (פרשנות),Kabbalistic texts;Commentary on Zohar,Q39650;Q76022,,
Maʼamar ḥaye ha-nefesh /,מאמר חיי הנפש,,,Hebrew texts,Q44123,,
Rashe tevot u-pitronam,ראשי תיבות ופתרונם,,,Hebrew texts,Q44123,,
Perush ʻesʹer sefirot,פירוש עשר ספירות,,,Hebrew commentary,Q75988,,
Sefer shaʻare ḳedushah /,ספר שערי קדושה,,,Hebrew texts,Q44123,,
Sefer ʻets ha-ḥayim /,ספר עץ החיים,,,Hebrew texts,Q44123,,
Sefer ha-derushim,ספר הדרושים,,,Hebrew texts,Q44123,,
"Perush ha-zohar; Idra zuta, ḳeṭʻa",פרוש הזהר,,,Hebrew commentary,Q75988,,
ʻets ḥayim]; ḳeṭaʻim,עץ חיים,,,Hebrew texts,Q44123,,
Perush ha-zohar; ḳetʻa,פרוש הזהר,,,Hebrew commentary,Q75988,,
Ḳovets mi-ḳabalat ha-Ari,"קבץ מקבלת האר""י",,,Torah commentary,Q44107,,
"Zohar; Be-reshit, Ba-midbar",זהר,Zohar,זהר,Kabbalistic texts;Zohar,Q39650;Q76023,,
Don Yosef nasʹi,דון יוסף נשיא,,,Hebrew texts,Q44123,,
Ṿidui naḥalah /,וידוי נחלה,,,Hebrew texts,Q44123,,
Sefer yereʼim,ספר יראים,,,Hebrew texts,Q44123,,
Shaʻare orah,שערי אורה,,,Hebrew texts,Q44123,,
Sefer ha-orah,ספר האורה,,,Hebrew texts,Q44123,,
Perush ha-merkavah; shel Yeḥezḳel ha-navi z.l,פירוש המרכבה,,,Hebrew commentary,Q75988,,
Targum ha-merkavah; shel Yeḥezḳel ha-navi ʻa.h. le-Yonatan ben ʻUziʼel,תרגום המרכבה,Aramaic Targum (Yeḥezḳel 1),תרגום ארמי (יחזקאל א),Aramaic text;Bible commentary,Q76024;Q1433,,
Shaʻar ha-razim /,שער הרזים,,,Hebrew texts,Q44123,,
Shaʻare ha-tsedeḳ,שערי הצדק,,,Hebrew texts,Q44123,,
Leḳuṭot,לקוטות,Kabalah,קבלה,Kabbalistic texts,Q39650,,
Zohar ḥadash; ḳeṭaʻ,זהר חדש,Zohar ḥadash,זהר חדש,Kabbalistic texts;Zohar,Q39650;Q76023,,
Teshuvot rav Hai be-ḳabalah; le-rav Pelatoi ve-ḥaveraṿ,תשובות רב האי בקבלה,,,Hebrew texts,Q44123,,
Perush ʻesʹer sefirot,פרוש עשר ספירות,Kabalah,קבלה,Kabbalistic texts,Q39650,,
24 sodot,"כ""ד סודות",,,Hebrew texts,Q44123,,
Shaʻar ha-kaṿanah; la-meḳubalim ha-rishonim z.l,שער הכונה,,,Hebrew texts,Q44123,,
Midrash ʻal parashat ṿa-yeḥi; be-Aramit ḥadashah,מדרש על פרשת ויחי,,,Midrash,Q76015,,
Peṭirat Mosheh,פטירת משה,Midrash,מדרש,Midrash,Q76015,,
Shemen ha-mishḥah,שמן המשחה,Midrash (commentaries),מדרש (פרשנות),Midrash,Q76015,,
Be-reshit Raba; parashiyot 11- 42,בראשית רבה,Midrash rabbah,מדרש רבה,Midrash,Q76015,,
Teshuvah; ʻal heter ʻagunah,תשובה,Responsa,שאלות ותשובות,Responsa,Q75989,,
Ha-ḥalitsah be-ketsarah; derekh yesharah,החליצה בקצרה,Ḥalitsah,חליצה,Ḥalitzah;Document,Q76025;Q8301,,
Piske halakhot] /,פסקי הלכות,,,Hebrew texts,Q44123,,
Sefer mitsvot gadol; ʻasʹin 121-122,ספר מצוות גדול,,,Hebrew texts,Q44123,,
Mishneh torah; hilkhot sheḥiṭah,משנה תורה,,,Mishneh Torah,Q39762,,
Hilkhot sheḥiṭah,הלכות שחיטה,Jewish law,הלכות,Hilkhot sheḥiṭah,Q76017,,
"Mishneh torah; sefer ḳedushah, hilkhot Isure biʼah 10:21- hilkhot maʼakhalot asurot 15:6",משנה תורה,,,Mishneh Torah,Q39762,,
Mishneh torah; sefer zemanim,משנה תורה,,,Mishneh Torah,Q39762,,
Heʻarot ṿe-liḳuṭe halakhot; ʻal Shulḥan ʻarukh,הערות ולקוטי הלכות,Jewish law,הלכה,Legal text;Jewish law text,Q8041;Q76026,,
Sheṭarot mi-Maroco; min ha-shanim 1693-1767,שטרות ממרוקו,,,Hebrew texts,Q44123,,
Igeret] /,אגרת,,,Letter;Hebrew text,Q1454;Q75984,,
Igrot,אגרות,Igrot,אגרות,Fees,Q76027,,
Igeret; el Yaʻaḳov Shalish ba-ʻir Larisa,אגרת,Igeret,אגרת,Letter;Hebrew text,Q1454;Q75984,,
