title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Haftarah for the first day of Passover, Targum Pseudo-Jonathan",,Bible,,Haftarah,Q44119,,
"Maḥazor for Yom Kippur, Seliḥot",,Seliḥot,,Seliḥot,Q76013,,
Cabalistic commentary on the Passover Haggadah,כוונות ופסוקים לסדר ההגדה של פסח,,,Hebrew commentary,Q75988,,
Tosefta Targum of Ezekiel I,,,,Midrash,Q76015,,
Psalter fragment,קטע מתהלים,Bible,תנך,,,Bible;Psalter,Q661;Q660
Part of Ibn Gabirol's Diṿan,,Poems,,Diwan,Q11912,,
Commentary on the Megilot (partial): Song of Solomon 7:4-7; Summary of Ruth,,Perush ʹal Ḥamesh megilot,,Megillot,Q44122,,
Judeo-Arabic translation and commentary on Jeremiah 4:20-26; Jeremiah 4:31-5:2,,Bible,,Torah commentary,Q44107,,
Kitāb Taʾariḥ,,,,Aramaic text,Q76024,,
"Part of David Kimḥi's treatise on Hebrew grammar, Mikhlol",,Mikhlol,,Grammatical text,Q6010,,
"Haggadah for Passover, with directions in Judeo-Arabic",,Haggadah,,Haggadah,Q44103,,
Psalms 37:23-37,,Bible,,Psalms;Bible,Q5972;Q661,,
Numbers 8:21-9:4,,Bible,,Book of Numbers;Torah,Q1408;Q42434,,
Megilat Ester] ... [etc.,,Bible,,Megillot,Q44122,,
Moroccan piyut book,פיוט כתב-יד נוסח מרוקו,,,Piyyutim,Q76006,,
"Memorial volume for the rabbis and community of Ropczyce, Poland",ספר-זכרון לעיר רופשיץ,,,Memorial book,Q67747,,
Arabic inscription,,,,Inscription,Q39231,,
Birth of Moses,,Molad Mosheh,,Molad Mosheh,Q76601,,
Court record,,,,Document,Q8301,,
"Prayer book, Morning service with instructions in Judeo-Arabic",,Shaḥarit,,Prayer book,Q1486,,
Marriage contract of Sitt al-Dar daughter of R. Isaac,,,,Ketubah,Q76000,,
Le tison d'Espagne ou origines de la plus grande partie des familles nobles de ce royaume et du Portugal; issuës tant d'estoc que par femmes de maures et juifs convertis; traduit de l'Espagnol,,,,History of Iberian noble families,Q76602,,
Genizah fragments,שרידי גניזה,,,Genizah,Q76603,,
Collected classic wise sayings,,,,Aphorisms,Q44049,,
"Manuscript leaf from Antiquitates Judaicae, Book 13",,Antiquitates Judaicae,,,,Antiquitates Judaicae,Q20464
Letter to an honorable rabbi,,,,Letter,Q1454,,
"Targum Onḳelos, Leviticus 4:10-8:",,Bible,,Book of Leviticus;Torah,Q38395;Q42434,,
Qiqlar for Passover; manuscript,,,,Hebrew text,Q75984,,
Tsiduḳ ha-din,,Zidduk ha-din,,Hebrew text,Q75984,,
