holding_institution,shelfmark,url
kansas,MS C260,https://archive.org/details/MSC260_30
kansas,MS C264,https://archive.org/details/MSC264_30
kansas,MS C26,https://archive.org/details/MSC26_30
kansas,MS C277,https://archive.org/details/MSC277_30
kansas,MS C27,https://archive.org/details/MSC27_30
kansas,MS C46,https://archive.org/details/MSC46_30
kansas,MS C49,https://archive.org/details/MSC49_30
kansas,MS C54,https://archive.org/details/MSC54_30
kansas,MS C56,https://archive.org/details/MSC56_30
kansas,MS C57,https://archive.org/details/MSC57_30
kansas,MS C58,https://archive.org/details/MSC58_30
kansas,MS C61,https://archive.org/details/MSC61_30
kansas,MS C62,https://archive.org/details/MSC62_30
kansas,MS C64,https://archive.org/details/MSC64_30
kansas,MS C65,https://archive.org/details/MSC65_30
kansas,MS C66,https://archive.org/details/MSC66_30
kansas,MS C67,https://archive.org/details/MSC67_30
kansas,MS C68,https://archive.org/details/MSC68_30
kansas,MS C69,https://archive.org/details/MSC69_30
kansas,MS C70,https://archive.org/details/MSC70_30
kansas,MS C71,https://archive.org/details/MSC71_30
kansas,MS C82,https://archive.org/details/MSC82_30
kansas,MS C90,https://archive.org/details/MSC90_30
kansas,MS C91,https://archive.org/details/MSC91_30
kansas,MS C92,https://archive.org/details/MSC92_30
kansas,MS D113,https://archive.org/details/MSD113_30
kansas,MS D131,https://archive.org/details/MSD131_30
kansas,MS D132,https://archive.org/details/MSD132_30
kansas,MS D133,https://archive.org/details/MSD133_30
kansas,MS D134,https://archive.org/details/MSD134_30
kansas,MS D13,https://archive.org/details/MSD13_30
kansas,MS D14,https://archive.org/details/MSD14_30
kansas,MS D199,https://archive.org/details/MSD199_30
kansas,MS D2,https://archive.org/details/MSD2_30
kansas,MS D31,https://archive.org/details/MSD31_30
kansas,MS D34,https://archive.org/details/MSD34_30
kansas,MS D35,https://archive.org/details/MSD35_30
kansas,MS D37,https://archive.org/details/MSD37_30
kansas,MS D38,https://archive.org/details/MSD38_30
kansas,MS D39,https://archive.org/details/MSD39_30
kansas,MS D3,https://archive.org/details/MSD3_30
kansas,MS D40,https://archive.org/details/MSD40_30
kansas,MS D63,https://archive.org/details/MSD63_30
kansas,MS D66,https://archive.org/details/MSD66_30
kansas,MS D84,https://archive.org/details/MSD84_30
kansas,MS E126,https://archive.org/details/MSE126_30
kansas,MS E12,https://archive.org/details/MSE12_30
