title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Dīvān-i Mawlānā Kamāl,ديوان مولانا كمال,Poems,,,,Poems,Q1455
Kitāb Jāmiʻ al-masāʼil fiqh al-Imāmīyah,كتاب جامع المسائل فقه الامامية,Jāmiʻ al-masāʼil fiqh al-Imāmīyah,,,,Jāmiʻ al-masāʼil fiqh al-Imāmīyah,
ʻAyn al-bukāʼ / Muḥammad Naqī ibn Mullā Aḥmad Burūjirdī,عىن البکاء / محمد نقى بن ملا احمد بروجردى,,,,,ʻAyn al-bukāʼ,
Muntakhab az Shāhnāmah-ʾi /,منتخب از شاهنامۀ /,Shāhnāmah,شاهنامه,,,Shāhnāmah,Q18627
Ḥilyat al-muttaqīn,حلية المتقين,,,,,Ḥilyat al-muttaqīn,
Jild-i panjum-i Rawz̤at al-ṣafā,جلد پنجم روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Jild-i chahārum-i Rawz̤at al-ṣafā,جلد چهارم روضت الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Kitāb-i Rawz̤at al-shuhadāʼ,كتاب روضة الشهداء,Rawz̤at al-shuhadāʼ,روضة الشهداء,,,Rawz̤at al-shuhadāʼ,
Kitāb-i Ikhtiyārāt-i Badīʻī,کتاب اختىارات بدىعى,Ikhtiyārāt-i Badīʻī,اختىارات بدىعى,,,Ikhtiyārāt-i Badīʻī,
Zīnat al-majālis,زىنت المجالس,,,,,Zīnat al-majālis,
Abwāb al-jinān,ابواب الجنان,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,
Miftāḥ al-najāḥ,مفتاح النجاح,,,,,Miftāḥ al-najāḥ,
Anhār al-lāhūtīyah fī ḥiyāḍ al-nāsūtīyah,انهار اللاهوتية في حياض الناسوتية,,,,,Anhār al-lāhūtīyah fī ḥiyāḍ al-nāsūtīyah,
Dhukhr al-ʻālamayn fī sharḥ Duʻāʾ-i ṣanamayn,ذخر العالمىن فى شرح دعاء صنمىن,,,,,Dhukhr al-ʻālamayn fī sharḥ Duʻāʾ-i ṣanamayn,
Mas̲navī-i Mawlavī jild-i panjum va shishum khaṭṭī,مثنوى مولوى جلد پنجم و ششم خطى,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Kitāb Surūr al-Shīʻah,كتاب سرور الشيعة,Surūr al-Shīʻah,سرور الشيعة,,,Surūr al-Shīʻah,
Kitāb-i Jamāl al-ṣāliḥīn dar adʻiyah /,کتاب جمال الصالحىن در ادعىه /,Jamāl al-ṣāliḥīn,جمال الصالحىن,,,Jamāl al-ṣāliḥīn,
Maṣābīḥ al-ṭarīq,مصابيح الطريق,,,,,Maṣābīḥ al-ṭarīq,
Sharḥ-i Miftāḥ al-falāḥ /,شرح مفتاح الفلاح /,Miftāḥ al-falāḥ,مفتاح الفلاح,,,Miftāḥ al-falāḥ,
Kitāb [al-]Āyāt al-bāhirah fī madḥ al-aʼimmah al-ṭāhirah ... [etc.,كتاب الآيات الباهرة في مدح الائمة الطاهرة,Āyāt al-bāhirah fī madḥ al-aʼimmah al-ṭāhirah,آيات الباهرة في مدح الائمة الطاهرة,,,Persian poetry,Q18530
Jild-i duvvum-i Mas̲navī-i ʻĀrif Rūmī maʻrūf-i Balkhī,جلد دوم مثنوى عارف رومى معروف بلخى,Mas̲navī,مثنوى,,,Mas̲navī,Q27606
Ṭibb-i Sikandarī,طب سکندرى,,,,,Ṭibb-i Sikandarī,
Book 4 of the Z̲ākhirah-i Khvārazm-shāhī,,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Z̲ākhirah-i Khvārazmshāhī,
Javāmiʻ aḥkām al-nujūm,جوامع احكام النجوم,,,,,Javāmiʻ aḥkām al-nujūm,
Kifāyah-i Manṣūrī ... [etc.,کفاىه منصورى,Kifāyah-i Mujāhidīyah,کفاىه مجاهدية,,,Kifāyah-i Mujāhidīyah,
Tarjamat Kitāb Maʻālim al-dīn wa-malādhdh al-mujtahidīn,ترجمة كتاب معالم الدين وملاذ المجتهدين,Maʻālim al-dīn wa-malādhdh al-mujtahidīn,معالم الدىن وملاذ المجتهدىن,,,Maʻālim al-dīn wa-malādhdh al-mujtahidīn,
Tarjamah-i Sharḥ-i Jāmī,ترجمه شرح جامى,Fawāʾid al-ḍīyāʾīyah,فوائد الضيائية,,,Fawāʼid al-ḍiyāʼīyah,Q39778
Kitāb Miʻyār al-ashʻār /,کتاب معىار الاشعار /,Miʻyār al-ashʻār,معيار الاشعار,,,Miʻyār al-ashʻār,
Javāhirnāmah /,جواهر‌نامه /,,,,,Javāhirnāmah,
Baḥr al-jawāhir fī ʻilm al-dafātir,بحر الجواهر في علم الدفاتر,,,,,Baḥr al-jawāhir fī ʻilm al-dafātir,
Kitāb Abwāb al-jinān,کتاب ابواب الجنان,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,
Kanz al-lughah,كنز اللغة,Kanz al-lughāt,كنز اللغات,,,Kanz al-lughāt,
Dīvān-i Farrukhī,دىوان فرخى,Poems,,,,Poems,Q1455
Riyāz̤ al-muḥibbīn ... [etc.,رىاض المحبىن,,,,,Riyāz̤ al-muḥibbīn,
Gulshan-i rāz /,گلشن راز /,,,,,Gulshan-i rāz,
Aḥkām al-aʻwām,احکام الاعوام,,,,,Aḥkām al-aʻwām,
Jaz̲avāt va mavāqīt,جذوات و مواقىت,,,,,Jaz̲avāt va mavāqīt,
Dīvān-i Ṭabīb,دىوان طبىب,Poems,,,,Poems,Q1455
Majmūʻ rasāʾil fī ʻilm al-falak,مجموع رسائل في علم الفلك,,,,,Astronomical texts,Q3129
Qaṣāʼid-i ʻUrfī,قصائد عرفى,Poems,,,,Poems,Q1455
Ṭarīqatʹnāmah-ʼi /,طرىقت‌ نامۀ /,,,,,Ṭarīqatʹnāmah-ʼi,
Kitāb-i Hidāyat al-ḍāllīn wa-kifāyat al-muʾminīn /,كتاب هداية الضالين وكفاية المؤمنين /,Hidāyat al-ḍāllīn wa-taqwat al-muʾminīn,هداية الضالين وتقوة المؤمنين,,,Hidāyat al-ḍāllīn wa-taqwat al-muʾminīn,
Dīvān-i Ṣāʼib,دىوان صائب,Poems,,,,Poems,Q1455
Dīvān-i Ḥaz̤rat Munlā Jāmī,دىوان حضرت منلا جامى,Poems,,,,Poems,Q1455
Kitāb-i Anīs al-ʻushshāq,كتاب انيس العشاق,Anīs al-ʻushshāq,انىس العشاق,,,Anīs al-ʻushshāq,
Kitāb Sirāj al-najāḥ fī tarjamat Miftāḥ al-falāḥ,كتاب سراج النجاح في ترجمة مفتاح الفلاح,Miftāḥ al-falāḥ,مفتاح الفلاح,,,Miftāḥ al-falāḥ,
Kitāb Lubāb al-ikhtiyārāt fī taʻyīn al-awqāt,كتاب لباب الاختيارات في تعيين الاوقات,Lubāb al-ikhtiyārāt fī taʻyīn al-awqāt,لباب الاختيارات في تعيين الاوقات,,,Lubāb al-ikhtiyārāt fī taʻyīn al-awqāt,
Kullīyāt-i Ḥakīm Khāqānī Shīrvānī ... [etc.,کليات حکىم خاقانى شىروانى,Poems,,,,Poems,Q1455
Majmūʻah-ʼi Mawlānā ʻUrfī Shīrāzī,مجموعۀ مولانا عرفى شىرازى,Works,,,,Works,Q5989
Dīvān-i Khvājah Ḥāfiẓ,دىوان خواجه حافظ,Poems,,,,Poems,Q1455
Dānishʹnāmah-i jahān,دانش‌نامه جهان,,,,,Encyclopedia of the world,
Dīvān-i Shawkat,دىوان شوکت,Poems,,,,Poems,Q1455
Tuḥfat al-muʼminīn,تحفت المؤمنىن,,,,,Tuḥfat al-muʼminīn,
Subḥat al-abrār /,سبحة الابرار /,Haft awrang,,,,Haft awrang,Q27579
Kifāyat al-taʻlīm fī ṣināʻat al-tanjīm /,کفاىة التعلىم فى صناعة التنجىم /,,,,,Astrological texts,Q3123
Dīvān-i Khayālī,دىوان خىالى,Poems,,,,Poems,Q1455
Ghiyāthīyah,غىاثية,,,,,Ghiyāthīyah,
Manāẓir al-inshāʾ /,مناظر الانشاء /,,,,,Manāẓir al-inshāʾ,
Sharḥ-i Lamaʻāt,شرح لمعات,Ashiʻʻat al-Lamaʻāt,اشعة اللمعات,,,Ashiʻʻat al-lamaʻāt,
Jūg Bāshishth,جوگ باششته,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Collection of poems and treatises,,Works,,,,Works,Q5989
Kitāb-i Kullīyāt-i Shaykh Saʻdī,کتاب کليات شىخ سعدى,Works,,,,Works,Q5989
Sharḥ-i Mashāriq al-anvār,شرح مشارق الانوار,Mashāriq anwār al-yaqīn fī ḥaqāʾiq asrār Amīr al-Muʾminīn,مشارق انوار اليقين في حقائق اسرار امير المؤمنين,,,Mashāriq anwār al-yaqīn fī ḥaqāʾiq asrār Amīr al-Muʾminīn,
Sharḥ-i Ghurar-i durar,شرح غرر درر,Naẓm al-ghurar wa-naḍd al-durar,نظم الغرر ونضد الدرر,,,Naẓm al-ghurar wa-naḍd al-durar,
Fāʾiq al-bayān,.فائق البيان,Fāʾiq al-bayān fī tafsīr āyat anna Allāh yaʾmuru bi-al-ʻadl wa-al-iḥsān,فائق البيان في تفسير آية ان الله يأمر بالعدل والاحسان,,,Fāʾiq al-bayān fī tafsīr āyat anna Allāh yaʾmuru bi-al-ʻadl wa-al-iḥsān,
Kitāb-i Ikhtiyārāt-i Badīʻī /,کتاب اختىارات بدىعى /,Ikhtiyārāt-i Badīʻī,اختىارات بدىعى,,,Ikhtiyārāt-i Badīʻī,
Ḥabl al-matīn fī muʻjizāt Amīr al-Muʾminīn,حبل المتين في معجزات امير المؤمنين,,,,,Ḥabl al-matīn fī muʻjizāt Amīr al-Muʾminīn,
Kitāb-i Sharḥ-i Gulshan-i rāz ... [etc.,کتاب شرح گلشن راز,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,مفاتىح الاعجاز فى شرح گلشن راز,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,
Mashāriq al-anvār dar sharḥ-i aḥādīs̲-i aʼimmah-i aṭhār,مشارق الانوار در شرح احادىث ائمه اطهار,Sharḥ Uṣūl al-Kāfī,شرح اصول الكافي,,,Sharḥ Uṣūl al-Kāfī,
Asrār al-Fātiḥah,اسرار الفاتحة,,,,,Asrār al-Fātiḥah,
Minhāj al-ʻārifīn wa-miʻrāj al-ʻābidīn,منهاج العارفين ومعراج العابدين,,,,,Minhāj al-ʻārifīn wa-miʻrāj al-ʻābidīn,
Sharḥ-i Gulshan-i rāz,شرح گلشن راز,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,مفاتىح الاعجاز فى شرح گلشن راز,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,
Kitāb-i Sharḥ-i Bīst bāb dar maʻrifah min asṭurlāb /,کتاب شرح بىست باب در معرفه من اسطرلاب /,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بىست باب در معرفت اسطرلاب,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,
Kitāb Minhāj al-manāhij ... [etc.,كتاب منهاج المناهج,Minhāj al-manāhij,منهاج المناهج,,,Minhāj al-manāhij,
Nuskhah-i Asrār-i mafātīḥ dar raml,نسخه اسرار مفاتىح در رمل,Asrār-i mafātīḥ dar raml,اسرار مفاتىح در رمل,,,Asrār-i mafātīḥ dar raml,
Kitāb-i Tārīkh-i Nādir,کتاب تارىخ نادر,Tārīkh-i Nādirī,تارىخ نادرى,,,Tārīkh-i Nādirī,Q18592
Miftāḥ al-tanzīl,مفتاح التنزىل,,,,,Miftāḥ al-tanzīl,
Hidāyat al-ṭālibīn dar uṣūl-i dīn /,هداىت الطالبىن در اصول دىن /,,,,,Text for religious instruction,
al-Intikhab bi-Khāqānī va Abū al-Faraj va Anvarī va Amīr Muʻizzī,الانتخب بخاقانى و ابو الفرج و انورى و امىر معزى,,,,,al-Intikhab bi-Khāqānī va Abū al-Faraj va Anvarī va Amīr Muʻizzī,
Kitāb-i Jawhar al-z̲āt ... [etc.,کتاب جوهر الذات,Jawhar al-z̲āt,جوهر الذات,,,Jawhar al-z̲āt,
Surkhāb al-raml] ... [etc.,سرخاب الرمل,,,,,Surkhāb al-raml,
Surūr al-ʻibād sarrahu Allāh taʻālá fī yawm al-maʻād /,سرور العباد سره الله تعالى فى ىوم المعاد /,Surūr al-ibād,سرور الاباد,,,Surūr al-ibād,
Collection of Arabic and Persian texts on grammar,,,,,,Grammatical texts,Q38407
Dīvān-i ʻĀshiq,دىوان عاشق,Poems,,,,Poems,Q1455
Irshād al-mustarshidīn ... [etc.,ارشاد المسترشدين,,,,,Irshād al-mustarshidīn,
Collection of texts on alchemy and divination,,,,,,Alchemical texts;Divination texts,Q3132;
Qaṣīdah min Anṣārī Abī Wardī fī taʻrīf al-bahār. Jadwal li-maʻrifah-i aḥkām-i ṭāliʻ-i sanah-i al-ʻālamī,قصيده من انصارى ابى وردى فى تعريف البهار. جدول لمعرفه احکام طالع سنه العالمى,,,,,Qaṣīdah min Anṣārī Abī Wardī fī taʻrīf al-bahār. Jadwal li-maʻrifah-i aḥkām-i ṭāliʻ-i sanah-i al-ʻālamī,
Mas̲navī,مثنوى,,,,,Mas̲navī,Q27606
Selected poetry in Persian,,,,,,Persian poetry,Q18530
Kokā shāstrā,ککا شاسترا,Ratirahasya,,,,Ratirahasya,
Kitāb-i duzd va-qāz̤ī,کتاب دزد وقاضى,,,,,Kitāb-i duzd va-qāz̤ī,
"Dīvān-i ʻAbd al-Raḥmān, ʻalayhi al-raḥmah va al-riz̤vān, bi-zabān-i Afghānī bi-luṭf-i subḥānī",ديوان عبد الرحمن، عليه الرحمة والرضوان، بزبان افغاني بلطفا سبحاني,,,,,Dīwān,Q11912
Muntakhab-i ashʻār ... [etc,منتخب اشعار ... الخ,,,,,Poems,Q1455
Risālah-ʼi Marātib-i ʻavālim-i khamsah ... [etc.,رسالۀ مراتب عوالم خمسه ... الخ,,,,,Risālah-ʼi Marātib-i ʻavālim-i khamsah,
Holograph collection of poems,,Poems,,,,Poems,Q1455
Bahjat al-tavārīkh,بهجة التوارىخ,,,,,Bahjat al-tavārīkh,
Ẓafarnāmah-i,ظفرنامه,Ẓafarnāmah,ظفرنامه,,,Ẓafarnāmah,
Tuḥfat al-abrār al-mutalaqqaṭ min āthār al-aʼimmah /,تحفة الابرار المتلقط من آثار الائمة /,,,,,Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah,
Tarjamah-i Arbaʻīn,ترجمه اربعىن,Arbaʻūn ḥadīthan,اربعون حديثا,,,Arbaʻīn ḥadīth,Q12004
Sharḥ-i Niṣāb /,شرح نصاب /,,,,,Sharḥ-i Niṣāb,
Durrah-i Nādirī,دره نادرى,Tārīkh-i Nādirī,تارىخ نادرى,,,Tārīkh-i Nādirī,Q18592
Muḥarriq al-qulūb,محرق القلوب,,,,,Muḥarriq al-qulūb,
Fī itmām tarjamat al-juzʼ al-thānī min Kitāb ʻUyūn akhbār al-Riḍā,في اتمام ترجمة الجزء الثاني من كتاب عيون اخبار الرضا,ʻUyūn akhbār al-Riḍā,عيون اخبار الرضا,,,ʻUyūn akhbār al-Riḍā,
Tawḍīḥ al-maṭālib /,توضيح المطالب /,,,,,Tawḍīḥ al-maṭālib,
Tuḥfah-i Bahāʼīyah,تحفه بهائية,,,,,Tuḥfah-i Bahāʼīyah,
Khulāṣat al-taʻbīr,خلاصة التعبير,,,,,Khulāṣat al-taʻbīr,
Persian miscellany,,,,,,Persian miscellany,
Kitāb al-Mas̲navī,کتاب المثنوى,Ṭāqdīs,طاقدىس,,,Ṭāqdīs,
Kitāb Manāqib al-Murtaḍawī /,كتاب مناقب المرتضوي /,Manāqib al-Murtaz̤avī,مناقب المرتضوى,,,Manāqib al-Murtaz̤avī,
Kitāb-i Sharḥ-i Lārī bar Fārsī-i hayʼat /,کتاب شرح لارى بر فارسى هيئت /,Sharḥ-i Risālah dar hayʼat,شرح رساله در هيئت,,,Sharḥ-i Risālah dar hayʼat,Q27610
Sabīl al-najāh; Sabīl al-rashād dar nubūvat,سبىل النجاة ؛,,,,,Sabīl al-najāh,
Majmūʻah-ʾi Akbarī /,مجموعۀ اکبرى /,,,,,Majmūʻah,Q18453
Tarjamah-i Ḥāshiyah-ʾi /,ترجمه حاشىۀ /,Ḥāshiyah ʻalá Tahdhīb al-mantiq,حاشية على تهذيب المنتق,,,Ḥāshiyah ʻalá Tahdhīb al-mantiq,
Kitāb-i Ams̲ilah,کتاب امثله,Ams̲ilah,امثله,,,Ams̲ilah,
Ḥirz al-amān min fitan al-zamān /,حرز الامان من فتن الزمان /,,,,,Ḥirz al-amān min fitan al-zamān,
Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ /,بهجات الارواح وفرحات الاشباح /,Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ,بهجات الارواح وفرحات الاشباح,,,Bahjāt al-arwāḥ wa-farḥāt al-ashbāḥ,
Mujmal al-ḥikmah; tarjamah-i khulāṣah-i Rasāʼil-i Ikhwān al-Ṣafā,مجمل الحکمه,Rasāʼil,رسائل,,,Rasāʼil,
Irshād al-qārī ... [etc.,ارشاد القاري,,,,,Irshād al-qārī,
Miftāḥ al-shifā /,مفتاح الشفا /,,,,,Miftāḥ al-shifāʾ,
Yūsuf-i Zulaykhā-yi /,ىوسف زلىخاى /,Yūsuf-i Zulaykhā,ىوسف زلىخا,,,Yūsuf va Zulaykhā,Q3708
Dīvān-i Khvājū,دىوان خواجو,Poems,,,,Poems,Q1455
Ātashkadah /,آتشکده /,,,,,Ātashkadah,
Ẓafarnāmah /,ظفرنامه /,Ẓafarnāmah,ظفرنامه,,,Ẓafarnāmah,
Kifāyah-i mujāhadah dar ṭibb,كفايه مجاهده در طب,Kifāyah-i Mujāhidīyah,كفايه مجاهديه,,,Kifāyah-i Mujāhidīyah,
Murāsalāt,مراسلات,,,,,Correspondence,Q38385
Miṣbāḥ al-hidāyat va miftāḥ al-Kifāyat,مصباح الهدايت و مفتاح الكفايت,Miṣbāḥ al-hidāyah va miftāḥ al-Kifāyah,مصباح الهداية و مفتاح الكفاية,,,Miṣbāḥ al-hidāyah va miftāḥ al-Kifāyah,
Album of miniatures and specimens of calligraphy of Indian origin,,,,,,Calligraphy,Q39902
Dīvān ... [etc.,ديوان ... الخ,,,,,Dīwān,Q11912
Kanz al-lughah Fārisī,كنز اللغة فارسي,Kanz al-lughāt,كنز اللغات,,,Kanz al-lughāt,
Kitāb-i ʻAjāʾib-i makhlūqāt,كتاب عجايب مخلوقات,ʻAjāʾib-i makhlūqāt,,,,ʻAjāʼib al-makhlūqāt,Q18390
Dīvān-i Ḥāfiẓ,ديوان حافظ,Dīvān,ديوان,Dīvān-i Ḥāfiẓ,Q18593,,
ʻAjāʼib al-makhlūqāt wa-gharāʼib al-mawjūdāt,عجائب المخلوقات وغرائب الموجودات,ʻAjāʼib al-makhlūqāt,عجائب المخلوقات,,,ʻAjāʼib al-makhlūqāt,Q18390
ʻAjāʼib al-makhlūqāt wa-gharāʼib al-mawjūdāt,عجايب المخلوقات وغرايب الموجودات,ʻAjāʼib al-makhlūqāt,عجائب المخلوقات,,,ʻAjāʼib al-makhlūqāt,Q18390
Sikandarʹnāmah. Sāmʹnāmah,سکندر‌نامه. سام‌نامه,,,,,Sikandarʹnāmah,
Sharḥ-i Fārsī bar Tahdhīb al-manṭiq,شرح فارسي بر تهذيب المنطق,,,,,Sharḥ-i Fārsī bar Tahdhīb al-manṭiq,
Rawz̤āt al-jannāt fī awṣāf-i madīnat al-Harāt,روضات الجنات فى اوصاف مدىنة الهرات,,,,,Rawz̤āt al-jannāt fī awṣāf-i madīnat al-Harāt,
Kitāb-i Ansāb al-navāṣib /,کتاب انساب النواصب /,Ansāb al-navāṣib,انساب النواصب,,,Ansāb al-navāṣib,
Tafsīr-i Manhaj al-ṣādiqīn; jild-i [3] az Sūrah-i mubārakah-i Yāsīn tā ākhir-i Qurʼān,تفسىر منهج الصادقىن,Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,منهج الصادقين في الزام المخالين,,,Manhaj al-ṣādiqīn fī ilzām al-mukhālifīn,
Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah ... [etc.,تحفة الابرار الملتقط من آثار الائمة,,,,,Tuḥfat al-abrār al-multaqaṭ min āthār al-aʼimmah,
ʻUlūm-i gharībah-i raml,علوم غرىبه رمل,,,,,Scientific texts,Q7521
Kitāb dar maʻrifat-i asṭurlāb ... [etc.,کتاب در معرفت اسطرلاب ... الخ,,,,,Treatise on astrolabes,Q27631
Tarkībʹband on the martrydom of Ḥusayn,,,,,,On the martrydom of Ḥusayn,
Risālah dar bayān-i irādah-i Allāh,رساله در بيان اراده الله,,,,,Risālah dar bayān-i irādah-i Allāh,
Manẓūm-i taṣavvuf-i Fārsī-i Muḥyī Mawlavī,منظوم تصوف فارسى محىى مولوى,,,,,Manẓūm-i taṣavvuf-i Fārsī-i Muḥyī Mawlavī,
Ghiyāthīyah] ... [etc.,غىاثية,,,,,Ghiyāthīyah,
Huwa Sharḥ-i Niṣāb-i ṣibyān ast ... [etc.,هو شرح نصاب صبىان است,Riyāz̤ al-fityān fī sharḥ Niṣāb al-ṣibyān,رياض الفتيان في شرح نصاب السبيان,,,Riyāz̤ al-fityān fī sharḥ Niṣāb al-ṣibyān,
Rawz̤at al-mujāhidīn,روضة المجاهدىن,,,,,Rawz̤at al-mujāhidīn,
Dīvān-i Dārā,دىوان دارا,Poems,,,,Poems,Q1455
Bayān-i mavāʻiẓ-i māh-i mubārak-i Ramaz̤ān ... sanah-i 1287 ... [etc.,بىان مواعظ ماه مبارک رمضان ... سنه ١٢٨٧,,,,,Bayān-i mavāʻiẓ-i māh-i mubārak-i Ramaz̤ān,
Risālah dar futūvah ... [etc.,رساله در فتوة ... الخ,,,,,Risālah dar futūvah,
Muʻammāʼ-i Mīr Ḥusayn,معماء مىر حسىن,,,,,Muʻammāʼ-i Mīr Ḥusayn,
Hāz̲ā Kitāb-i Ḥikāyat al-Sulṭān ibn al-Sulṭān Nāṣir al-Dīn Shāh Qājār bi-Farangistān raftan sanah-i 1296,هذا کتاب حکاىت السلطان بن السلطان ناصر الدىن شاه قاجار بفرنگستان رفتن سنه ١٢٩٦,Ḥikāyat al-Sulṭān ibn al-Sulṭān Nāṣir al-Dīn Shāh Qājār bi-Farangistān raftan,حکاىت السلطان بن السلطان ناصر الدىن شاه قاجار بفرنگستان رفتن,,,Ḥikāyat al-Sulṭān ibn al-Sulṭān Nāṣir al-Dīn Shāh Qājār bi-Farangistān raftan,
Risālah dar ʻilm-i qāfiyah ... [etc.,رساله در علم قافىه,,,,,Grammatical text,Q6010
Laṭāyif al-ṭavāyif,لطاىف الطواىف,,,,,Laṭāyif al-ṭavāyif,
Dībājah-i musammāh bi-Fuṣūl al-najāt va lubāb al-ishārāt jadval-i hizār va yiknām-i ʻalīm-i ʻallām-i musammá bi-Futūḥāt-i ʻAbbāsī,دىباجه مسماة بفصول النجات و لباب الاشارات جدول هزار و ىکنام علىم علام مسمى بفتوحات عباسى,Fuṣūl al-najāt va lubāb al-ishārāt,فصول النجات و لباب الاشارات,,,Fuṣūl al-najāt va lubāb al-ishārāt,
Siḥr-i ḥalāl,سحر حلال,,,,,Siḥr-i ḥalāl,
Kitāb-i ʻĀlamʹārā-yi ʻAbbāsī,کتاب عالم‌آراى عباسى,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,
Sirāj al-ṭarīq,سراج الطرىق,,,,,Sirāj al-ṭarīq,
Ṭūr-i Sīnāʼ,طور سىناء,,,,,Ṭūr-i Sīnāʼ,
Jām-i jam] ... [etc.,جام جم,,,,,Jām-i jam,
Uṣūl al-ʻaqāyid va jāmiʻ al-favāyid,اصول العقاىد و جامع الفواىد,,,,,Uṣūl al-ʻaqāyid va jāmiʻ al-favāyid,
Khusraw Shīrīn,خسرو شىرىن,,,,,Khusraw Shīrīn,
Sharḥ-i Muʻammāʼ-yi Mīr Ḥusayn] ... [etc.,شرح معمائى مىر حسىن,,,,,Sharḥ-i Muʻammāʼ-yi Amīr Ḥusayn,
"Commonplace book of Persian poetry, Sufi extracts, letters, prayers, and notices",,,,,,"Commonplace book of Persian poetry, Sufi extracts, letters, prayers, and notices",
Treatise on Arabic literary devices] ... [etc.,,,,,,Treatise on Arabic literary devices,
Treatise on astrology,,,,,,Astrological text,Q20378
Tārīkh-i inqilāb-i mashrūṭah-ʾi Īrān; az tārīkh-i sanah-i 1324 qamarī ilá sanah-i 1328 qamarī /,تارىخ انقلاب مشروطۀ ايران,Persian revolution of 1905-1909,,,,Persian revolution of 1905-1909,
Commonplace book of Persian poetry,,,,,,Persian poetry,Q18530
Commonplace book of prayers and extracts,,,,,,Prayers,Q798
Commonplace book of Persian poetry and prose,,,,,,Persian poetry,Q18530
Lubb-i lubāb-i Kāshif al-asrār /,لب لباب کاشف الاسرار /,,,,,Lubb-i lubāb-i Kāshif al-asrār,
Collection of ḥadīths on ʻAlī ibn Abī Ṭālib] ... [etc.,,,,,,Hadiths,Q11863
Jannat al-bāqiyah ... [etc.,جنة الباقية,Junnah al-wāqiyah wa-al-jannah al-bāqiyah,جنة الواقية والجنة الباقية,,,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,Q27802
Dar ʻilm-i nujūm va taqvīm va maʻrifat-i zāyijah] ... [etc.,در علم نجوم و تقوىم و معرفت زاىجه,,,,,Astronomical texts,Q3129
Sharḥ-i lughāt va qaṣāʾid-i Anvarī,شرح لغات و قصائد انورى,,,,,Sharḥ-i lughāt va qaṣāʾid-i Anvarī,
Account book; of the Royal Arsenal of Iran,,,,,,Account book,Q3714
Ḥifẓ al-ṣiḥḥah ... [etc.,حفظ الصحة,Zād al-musāfirīn,زاد المسافرين,,,Zād al-musāfirīn,
Jung al-ashʻār,جنگ الاشعار,,,,,Jung al-ashʻār,
Kitāb Fawāʼid al-mashāhid /,كتاب فوائد المشاهد /,Fawāʼid al-mashāhid wa-natāʼij al-maqāṣid,فوائد المشاهد ونتائج المقاصد,,,Fawāʼid al-mashāhid wa-natāʼij al-maqāṣid,
Ḥusaynʹnāmah /,حسىن‌نامه /,,,,,Ḥusaynʹnāmah,
Commentary on the section on inheritance from al-Mukhtaṣar al-nāfiʻ,,,,,,Commentary on al-Mukhtaṣar al-nāfiʻ,
Treatise on akhlāq,,,,,,Treatise on akhlāq,
Dar bayān-i mawz̤ūʻ va ʻilm-i kīmiyā ʻumūman va iksīr khuṣūṣan ... [etc.,در بىان موضوع و علم کىمىا عموماً و اکسىر خصوصاً,,,,,Scientific texts,Q7521
Majmūʻah-i inshāʾ-i dībāchah-i nivishtajāt,مجموعه انشاء دىباچه نوشتجات,,,,,Majmūʻah,Q18453
Majmūʻah az taʾlīfāt-i marḥūm-i Āghā Jaʻfar Vāʻiẓ,مجموعة از تألىفات مرحوم آغا جعفر واعظ,,,,,Majmūʻah az taʾlīfāt-i marḥūm-i Āghā Jaʻfar Vāʻiẓ,
Jung-i akhbār,جنگ اخبار,,,,,Jung-i akhbār,
Kitāb-i Hamyān ... [etc.,کتاب همىان,Hamyān,همىان,,,Hamyān,
