row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
447,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426731Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096309Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125210Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595347Z","Ibn Ḥusām Hiravī, Niẓām al-Dīn ibn Kamāl al-Dīn, active 14th century",author,ابن حسام هروي، نظام الدين بن كمال الدين، active 14th century,,Niẓām al-Dīn ibn Kamāl al-Dīn Ibn Ḥusām Hiravī,human,Q129453424,,,,
448,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426739Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096317Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125213Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595353Z","Vāʻiẓ Haravī, ʻAṭāʼ Allāh ibn Ḥusām",author,واعظ هروى، عطاء الله بن حسام,,ʻAṭāʼ Allāh ibn Ḥusām Vāʻiẓ Haravī,human,Q129453426,,,,
449,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426745Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096324Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125217Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595357Z","Dārā-yi Qājār, ʻAbd Allāh Mīrzā, Prince, son of Fatḥ ʻAlī Shāh, Shah of Iran, 1796 or 1797-1853 or 1854",author,داراى قاجار، عبد الله مىرزا، شاهزاده، پسر فتح على شاه، شاه ايران، 1796 or 1797-1853 or 1854,,Abdollah Mirza,human,Q5963890,,,,
450,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426751Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096352Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125219Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595365Z","Ṭālqānī, Naẓar ʻAlī, -1888 or 1889",author,طالقاني، نظر علي، -1888 or 1889,,Naẓar ʻAlī Ṭālqānī,human,Q129453428,,,,
451,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426758Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096360Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125221Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595370Z","Nīshāpūrī, Ḥusayn ibn Muḥammad, -1499",author,نىشاپورى، حسىن بن محمد، -1499,,Ḥusayn ibn Muḥammad Nīshāpūrī,human,Q129453431,,,,
452,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426764Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096367Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125225Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595375Z","Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",author,ناصر الدين شاه، شاه ايران ، 1831-1896,,Naser al-Din Shah Qajar,human,Q159416,,,,
453,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426770Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096390Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125228Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595386Z","ʻAlī Akbar ibn Muḥammad, active 19th century",author,على اکبر بن محمد، active 19th century,,ʻAlī Akbar ibn Muḥammad,human,Q129453433,,,,
454,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426783Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096402Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125230Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595391Z","Ṣafī, ʻAlī ibn Ḥusayn Kāshifī, 1463-1532 or 1533",author,صفى، على بن حسىن کاشفى، 1463-1532 or 3,,ʻAlī ibn Ḥusayn Kāshifī Ṣafī,human,Q120598988,,,,
455,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426789Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096410Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125236Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595395Z","Āl Ḥusaynī Nakhaʻī Jazāʼirī Najafī, Muḥammad ibn ʻAbd al-Ḥusayn, active 17th century",author,آل حسىنى نخعى جزائرى نجفى، محمد بن عبد الحسىن، active 17th century,,Muḥammad ibn ʻAbd al-Ḥusayn Āl Ḥusaynī Nakhaʻī Jazāʼirī Najafī,human,Q129453435,,,,
456,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426795Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096429Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125239Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595403Z","Ahlī Shīrāzī, Muḥammad ibn Yūsuf, 1454-1535 or 1536",author,اهلى شىرازى، محمد بن ىوسف، 1454-1535 or 1536,,Ahli Shirazi,human,Q6417609,,,,
457,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426803Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096436Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125241Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595408Z","Pīr Khaz̤rānī, Ḥasan ibn Hidāyat Allāh, active 16th century",author,پىر خضرانى، حسن بن هداىت الله، active 16th century,,Ḥasan ibn Hidāyat Allāh Pīr Khaz̤rānī,human,Q129453437,,,,
458,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426809Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096444Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125245Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595412Z","Baraghānī Qazvīnī, Muḥammad ʻAlī ibn Muḥammad, -1856 or 1857",author,برغانى قزوىنى، محمد على بن محمد، -1856 or 1857,,Muḥammad ʻAlī ibn Muḥammad Baraghānī Qazvīnī,human,Q129453439,,,,
459,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426814Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096458Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125248Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595423Z","Awḥadī, Rukn al-Dīn, 1271 or 1272-1337 or 1338",author,اوحدى، رکن الدىن، 1271 or 1272-1337 or 1338,,Awhadi Maraghai,human,Q2393983,,,,
460,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426822Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096467Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125250Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595428Z","Mūsavī al-Ḥusaynī al-Sabzvārī, Muḥammad Hādī ibn al-Lawḥī, active 17th century",author,"موسوى الحسىنى السبزوارى، محمد هادى بن اللوحى, active 17th century",,Muḥammad Hādī ibn al-Lawḥī Mūsavī al-Ḥusaynī al-Sabzvārī,human,Q129453440,,,,
461,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426828Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096474Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125254Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595432Z","ʻĀshiq, Rukn al-Dīn, active 15th century",author,عاشق، رکن الدىن، active 15th century,,Rukn al-Dīn ʻĀshiq,human,Q129453442,,,,
462,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426834Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096498Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125256Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595444Z","Browne, Edward Granville, 1862-1926",author,,,Edward Granville Browne,human,Q982047,,,,
463,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426842Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096506Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125259Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595448Z",Kāẓim,author,,,Kāẓim,human,Q129453444,,,,
464,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426848Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096514Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125486Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595453Z","Nādir Māzandarānī, Asad Allāh ibn ʻAbd al-Ghaffār, active 19th century",author,نادر مازندرانى، اسد الله بن عبد الغفار، active 19th century,,Asad Allāh ibn ʻAbd al-Ghaffār Nādir Māzandarānī,human,Q129453447,,,,
465,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426853Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096543Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125492Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595462Z","Farāhānī, Abū al-Ḥasan Ḥusaynī, active approximately 1620",author,"فراهانى، ابو الحسن حسىنى، Farāhānī, Abū al-Ḥasan Ḥusaynī, active approximately 1620",,Abū al-Ḥasan Ḥusaynī Farāhānī,human,Q129453115,,,,
466,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426865Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096553Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125518Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595467Z","Shūshtarī, Jaʻfar ibn al-Ḥusayn, -1885 or 1886",author,شوشتري، جعفر بن الحسين، -1885 or 1886,,Jaʻfar ibn al-Ḥusayn Shūshtarī,human,Q129453451,,,,
467,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426870Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096560Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125520Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595472Z","Muḥammad Bāqir ibn Zayn al-ʻĀbidīn, 1811 or 1812-1895 or 1896",scribe,محمد باقر بن زين العابدين، 1811 or 12-1895 or 6,,Muḥammad Bāqir ibn Zayn al-ʻĀbidīn,human,Q129453453,,,,
468,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426876Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096580Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125523Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595483Z","Mallālī, Taqī ibn Muḥammad, active 19th century",author,ملالى، تقى بن محمد، active 19th century,,Taqī ibn Muḥammad Mallālī,human,Q129453455,,,,
469,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426884Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096588Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125528Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595487Z","Vāʻiẓ, Jaʻfar, 19th cent",author,واعظ، جعفر، 19th cent,,Jaʻfar Vāʻiẓ,human,Q129453457,,,,
470,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426889Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096596Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125531Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595493Z","Bīdʹābādī Iṣfahānī, Abū al-Qāsim ibn ʻAlī Akbar, -1883 or 1884",author,بىد‌آبادى اصفهانى، ابو القاسم بن على اکبر، -1883 or 1884,,Abū al-Qāsim ibn ʻAlī Akbar Bīdʹābādī Iṣfahānī,human,Q129453459,,,,
471,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426895Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096613Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125533Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595505Z","Fayz̤ī, Bābā Tabrīzī",author,فىضى، بابا تبرىزى,,Bābā Tabrīzī Fayz̤ī,human,Q129453461,,,,
472,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426903Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096738Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125537Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595509Z",Muḥammad ibn Jaʻfar,author,محمد بن جعفر,,Muḥammad ibn Jaʻfar,human,Q129453463,,,,
473,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426908Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096751Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125539Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595514Z","Astarābādī, Jaʻfar, -1846 or 1847",author,استرابادى، جعفر، -1846 or 1847,,Jaʻfar Astarābādī,human,Q129453160,,,,
474,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426916Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096778Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125541Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595523Z","Buzchalūʼī, Maḥmūd, active 19th century",author,بزچلوئي، محمود، active 19th century,,Maḥmūd Buzchalūʼī,human,Q129453464,,,,
475,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426922Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096786Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125545Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595528Z","Kāshānī, ʻAlī Naqī ibn Muḥammad Jaʻfar",author,کاشانى، علىنقى بن محمد جعفر,,ʻAlī Naqī ibn Muḥammad Jaʻfar Kāshānī,human,Q129453466,,,,
476,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426928Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096793Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125548Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595533Z","Kitāb Khvān, ʻAbd Allāh ibn Mahdī",author,کتاب خوان، عبد الله بن مهدى,,ʻAbd Allāh ibn Mahdī Kitāb Khvān,human,Q129453469,,,,
477,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426939Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096818Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125550Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595540Z","Majz̲ūb ʻAlī Shāh, Muḥammad Jaʻfar ibn Ṣafar, 1761 or 1762-1822 or 1823",author,مجذوبعلى شاه، محمد جعفر بن صفر، 1761 or 1762-1822 or 1823,,Muḥammad Jaʻfar ibn Ṣafar Majz̲ūb ʻAlī Shāh,human,Q129453472,,,,
478,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426948Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096826Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125558Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595545Z","Adīb Ṣābir, Ṣābir ibn Ismāʻīl, -1147",author,ادىب صابر، صابر بن اسماعىل، d. 1147,,Ṣābir ibn Ismāʻīl Adīb Ṣābir,human,Q129453474,,,,
479,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426954Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096846Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125561Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595549Z","Nashāṭ, ʻAbd al-Vahhāb, 1761 or 1762-1828 or 1829",author,نشاط، عبد الوهاب، 1761 or 1762-1828 or 1829,,ʻAbd al-Vahhāb Nashāṭ,human,Q129453475,,,,
480,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426962Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096859Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125563Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595556Z","Ibn Qarachaqā-yi Khān, Muḥammad ʻAlī ibn ʻAlī Qulī, active 17th century",author,"ابن قرچقاى خان، محمد على بن علىقلى, active 17th century",,Muḥammad ʻAlī ibn ʻAlī Qulī Ibn Qarachaqā-yi Khān,human,Q129453477,,,,
481,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426968Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096868Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125567Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595561Z","Hamadānī, ʻAbd al-Ṣamad, -1802",author,همدانى، عبد الصمد، -1802,,ʻAbd al-Ṣamad Hamadānī,human,Q129453479,,,,
482,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426974Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096883Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125570Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595566Z","Parvānah Shāh, Z̤iyāʼ al-Dīn, active 19th century",author,پروانه شاه، ضىاء الدىن، active 19th century,,Z̤iyāʼ al-Dīn Parvānah Shāh,human,Q129453481,,,,
483,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426981Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096891Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125573Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595577Z","Bū ʻAlī Qalandar, 1209-1324",author,بو على قلندر، 1209-1324,,Bu Ali Shah Qalandar,human,Q4982054,,,,
484,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426987Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096899Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125577Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595581Z","Parvānah Shāh, Z̤iyāʼ al-Dīn, active 19th century",author,,,Z̤iyāʼ al-Dīn Parvānah Shāh,human,Q129453481,,,,
485,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.426993Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096919Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125579Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595587Z","Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, d. 1605 or 6",author,قاري الهروي، علي بن سلطان محمد، d. 1605 or 6,,Ali al-Qari,human,Q2836379,,,,
486,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427001Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096928Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125581Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595595Z",Muḥammad Ṣādiq,author,,,Muḥammad Ṣādiq,human,Q129453482,,,,
487,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427006Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096935Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125585Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595600Z","Lāhījānī, Muḥammad, active 17th century",author,لاهىجانى، محمد، active 17th century,,Muḥammad Lāhījānī,human,Q129453484,,,,
488,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427012Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096959Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125588Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595608Z","Baqlī, Rūzbihān ibn Abī al-Naṣr, -1209 or 1210",author,بقلى، روزبهان بن ابى النصر، -1209 or 1210,,Ruzbihan Baqli,human,Q3458926,,,,
489,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427022Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096968Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125590Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595613Z","Astarābādhī, Muḥammad Amīn ibn Muḥammad Sharīf, -1623 or 1624",author,استراباذى، محمد امىن بن محمد شرىف، -1623 or 1624,,Muhammad Amin al-Astarabadi,human,Q5705049,,,,
490,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427028Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096975Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125599Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595618Z","Mignan, Robert, -1852",former owner,,,,,,human,Robert Mignan,Q61890216,Q3238
491,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427033Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.096992Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125602Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595627Z","Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,human,Thomas Phillipps,Q2147709,Q385
492,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427041Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097001Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125604Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595632Z","Harley, A. H",former owner,,,A. H. Harley,human,Q129453487,,,,
493,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427047Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097009Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125608Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595637Z","Ḥusaynī Vāsiṭī Bilgrāmī, ʻAlī ibn Ṭufayl ʻAlī Khān, active 19th century",author,حسىنى واسطى بلگرامى، على بن طفىل على خان، active 19th century,,ʻAlī ibn Ṭufayl ʻAlī Khān Ḥusaynī Vāsiṭī Bilgrāmī,human,Q129453491,,,,
494,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427054Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097023Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125611Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595648Z","Ghanīmat, Muḥammad Akram, active 1685-1696",author,غنىمت، محمد اکرم، active 1685-1696,,Muḥammad Akram Ghanīmat,human,Q129453492,,,,
495,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427060Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097032Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125614Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595653Z","ʻĀṣī, ʻAbd al-Bāqī",author,عاصى، عبد الباقى,,ʻAbd al-Bāqī ʻĀṣī,human,Q129453494,,,,
496,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427066Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097044Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125618Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595658Z","Ghaws̲, active 19th century",author,غوث، active 19th century,,Ghaws̲,human,Q129453497,,,,
497,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427073Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097060Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125620Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595666Z","Rājū Qitāl, Yūsuf, -1372 or 1373",author,راجوقتال، ىوسف، -1372 or 1373,,,,,human,Yūsuf Rājū Qitāl,Q123581778,Q18718
498,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.427079Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.097068Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.125624Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.595671Z","Ḥalabī, Ṣāliḥ Naṣr Allāh ibn Sallūm",author,حلبي، صالح نصر الله بن سلوم,,Salih Nasr Allah ibn Sallum Halabi,human,Q22935004,,,,
