title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Hādhihi Risālah fī iqtināʼ barāhīn al-ʻulūm al-ḥisābīyah wa-al-aʻmāl al-jabrīyah wa-al-masāḥīyah ʻalá ashkāl al-taʼsīs min kitāb Uqlīdis,هذه رساله في اقتنا براهين العلوم الحسابيه والاعمال الجبريه والمساحيه على اشكال التاسيس من كتاب اقليدس,Risālah fī iqtināʼ barāhīn al-ʻulūm al-ḥisābīyah wa-al-aʻmāl al-jabrīyah wa-al-masāḥīyah ʻalá ashkāl al-taʼsīs min kitāb Uqlīdis,رسالة في اقتناء براهين العلوم الحسابية والاعمال الجبرية والمساحية على اشکال التأسيس من کتاب اقليدس,,,,
Kitāb al-Qānūn fī ʻilm al-ṭibb,كتاب القانون فى علم الطب,Qānūn fī al-ṭibb,قانون في الطب,,,Canon of Medicine,Q2826
al-Qānūn fī al-ṭibb,القانون في الطب,,,,,Canon of Medicine,Q2826
al-Mughnī fī Sharḥ al-Mūjaz,المغني في شرح الموجز,,,al-Mughnī fī Sharḥ al-Mūjaz,Q108588,,
Sharḥ al-Mūjaz /,شرح الموجز /,Sharḥ al-Mūjaz fī al-ṭibb,شرح الموجز في الطب,Sharḥ al-Mūjaz fī al-ṭibb,Q12085,,
Kitāb sharḥ wa-muḥākamat al-ṭibb,كتاب شرح ومحاكمة الطب,,,,,,
Sharḥ FuṣūI Abuqrāṭ,شرح فصول ابقراط,,,,,,
Sharḥ ʻalá Masāʼil fī al-ṭibb lil-mutaʻallimīn,شرح على مسائل في الطب للمتعلمين,,,,,,
Kitāb Taqwīm al-abdān bi-mudāwāt al-amrāḍ /,كتاب تقويم الابدان بمداوات الامراض /,Taqwīm al-abdān bi-mudāwāt al-amrāḍ,تقويم الابدان بمداوات الامراض,Kitāb Taqwīm al-abdān bi-mudāwāt al-amrāḍ,Q108599,,
Kitāb Taqwīm al-abdān bi-mudāwāt al-amrāḍ,کتاب تقويم الابدان بمداوات الامراض,Taqwīm al-abdān bi-mudāwāt al-amrāḍ,تقويم الابدان بمداوات الامراض,Kitāb Taqwīm al-abdān bi-mudāwāt al-amrāḍ,Q108599,,
Laqṭ al-manāfiʻ fī al-ṭibb,لقط المنافع في الطب,,,,,,
Sharḥ al-Asbāb wa-al-ʻalāmāt,شرح الاسباب والعلامات,,,Sharḥ al-Asbāb wa-al-ʻalāmāt,Q108601,,
Mukhtaṣar al-Tadhkirah al-hādiyah,مختصر التذکرة الهادية,,,Mukhtaṣar al-Tadhkirah al-hādiyah,Q108600,,
Kitāb Unmūdhaj fī al-ṭibb,كتاب انموذج في الطب,,,,,,
Jawāhir al-lughah,جواهر اللغة,Baḥr al-jawāhir,,Jawāhir al-lughah,Q108589,,
Kitāb Baḥr al-jawāhir fī ʻilm al-ṭibb,كتاب بحر الجواهر فى علم الطب,Baḥr al-jawāhir,بحر الجواهر,Baḥr al-jawāhir,Q108612,,
Fragment on medicine,,,,Medical text,Q20372,,
Two fragmentary medical texts,,,,Medical texts,Q817,,
al-Durar al-muntakhabah fī al-adwiyah al-mujarrabah,الدرر المنتخبة في الادوىة المجرّبة,,,,,,
al-Durūj fī al-mujarrabāt,الدروج في المجربات,,,,,,
Kitāb Sharḥ al-ṣadr bi-Laylat al-Qadr ... [etc,كتاب شرح الصدر بليلة القدر ... الخ,,,,,,
Tahdhīb al-manṭiq wa-al-kalām ... [etc,تهذيب المنطق والكلام ... الخ,,,,,Tahdhīb al-manṭiq wa-al-kalām,Q64068
Ḥāshiyat al-Riḍawī ... [etc,حاشية الرضوي ... الخ,,,,,,
ḥāshiyah ʻalá Maṭāliʻ al-anwār,,,,Ḥāshiyah ʻalá Maṭāliʻ al-anwār,Q11906,,
Ḥāshiyah ʻalá ḥāshiyat al-Jurjānī ʻalá Maṭāliʻ al-anwār,,,,,,,
Ḥāshiyah ʻalá Maṭāliʻ al-anwār,,,,Ḥāshiyah ʻalá Maṭāliʻ al-anwār,Q11906,,
Minhāj al-dukkān,,,,,,,
