title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb Imtāʻ al-baṣar wa-al-qalb wa-al-samʻ fī sharḥ al-Muʻallaqāt al-sabʻ,,کتاب امتاع البصر والقلب والسمع في شرح المعلقات السبع,Imtāʻ al-baṣar wa-al-qalb wa-al-samʻ fī sharḥ al-Muʻallaqāt al-sabʻ,امتاع البصر والقلب والسمع في شرح المعلقات السبع,,,Imtāʻ al-baṣar wa-al-qalb wa-al-samʻ fī sharḥ al-Muʻallaqāt al-sabʻ,Q11959
Mukhtaṣar sharḥ al-Sujāʻī ʻalá qaṣīdat Imruʼ al-Qays ibn Ḥujr al-Kindī,,مختصر شرح السجاعي على قصيدة امرئ القيس بن حجر الکندي,Sharḥ ʻalá qaṣīdat Imruʼ al-Qays,شرح على قصيدة امرؤ القيس,,,Sharḥ ʻalá qaṣīdat Imruʼ al-Qays,Q12246
Sharḥ Dīwān al-Khansāʼ bint ʻAmr ...,,شرح ديوان الخنساء بنت عمرو ...,,,,,Sharḥ Dīwān al-Khansāʼ bint ʻAmr,Q11989
Tanfīs al-shiddah wa-bulūgh al-murād fī Takhmīs al-Burdah wa-hiya Bānat Suʻād ... [etc,,تنفيس الشدة وبلوغ المراد في تخميس البردة وهي بانت سعاد ... الخ,,,Tanfīs al-shiddah wa-bulūgh al-murād fī Takhmīs al-Burdah wa-hiya Bānat Suʻād,Q12181,,
Sharḥ Lāmīyat al-ʻArab,,شرح لامية العرب,,,,,Sharḥ Lāmīyat al-ʻArab,Q11923
Kitāb al-Ḥamāsah /,,كتاب الحماسة /,,,,,Kitāb al-Ḥamāsah,Q12200
Hādhā Kitāb Dīwān mukhtārāt shuʻarāʼ al-ʻArab,,هذا کتاب ديوان مختارات شعراء العرب,Poems,,,,Arabic poetry,Q12007
Hādhihi al-Qaṣīdah al-Zaynabīyah wa-tafsīruhā ʻalá al-tamām wa-al-kamāl,,هذه القصيدة الزينبية وتفسيرها على التمام والکمال,Bahjah al-sanīyah li-sharḥ al-Qaṣīdah al-Zaynabīyah,بهجة السنية لشرح القصيدة الزينبية,,,,
Hādhā Sharḥ yusammá bi-al-Bahjah al-sanīyah ʻalá al-qaṣīdah al-musammāh bi-al-Zaynabīyah /,,هذا شرح يسمى بالبهجة السنية على القصيدة المسماه بالزينبية /,Bahjah al-sanīyah ʻalá al-Qaṣīdah al-Zaynabīyah,بهجة السنية على القصيدة الزينبية,,,,
Hādhā Dīwān Abī Tamām Ḥabīb ibn Aws al-Ṭāʼī,,هذا ديوان ابي تمام حبيب بن اوس الطائي,Dīwān,ديوان,,,Diwan,Q11912
Dīwān,,ديوان,,,,,Diwan,Q11912
al-Maqṣūrah al-Duraydīyah wa-sharḥuhā,,المقصورة الدريدية وشرحها,,,,,Maqṣūrah al-Duraydīyah wa-sharḥuhā,Q11703
Dīwān /,,ديوان /,,,,,Diwan,Q11912
al-Aḍwā' al-bahijah fī ibrāz daqāʼiq al-Munfarijah,,الاضواء البهجة في ابراز دقايق المنفرجة,,,,,al-Aḍwā' al-bahijah fī ibrāz daqāʼiq al-Munfarijah,Q12146
Dīwān al-Abīwardī,,ديوان الابيوردي,Dīwān,ديوان,,,Diwan,Q11912
Kitāb Nashr al-ʻalam fī sharḥ Lāmīyat al-ʻajam /,,كتاب نشر العلم في شرح لامية العجم /,Nashr al-ʻalam fī sharḥ Lāmīyat al-ʻajam,نشر العلم في شرح لامية العجم,,,Nashr al-ʻalam fī sharḥ Lāmīyat al-ʻajam,Q11705
Nuzʹhat al-khāṭir fī shiʻr sayyidī ʻAbd al-Qādir /,,نزهة الخاطر في شعر سيدي عبد القادر /,,,,,Nuzʹhat al-khāṭir fī shiʻr sayyidī ʻAbd al-Qādir,Q11676
Hādhā al-Dīwān Abū al-Ḥasan ʻAlī ibn al-Nabīh,,هذا الديوان ابو الحسن علي بن النبيه,Dīwān,ديوان,,,Diwan,Q11912
Hādhā Dīwān shiʻr /,,هذا ديوان شعر /,Dīwān,ديوان,,,Diwan,Q11912
Hādhā sharḥ laṭīf li-baʻḍ al-fuḍalā ʻalá qaṣīdat Ibn al-Fāriḍ,Lexicological text,هذا شرح لطيف لبعض الفضلا على قصيدة ابن الفارض,Sharḥ laṭīf li-baʻḍ al-fuḍalā' ʻalá qaṣīdat Ibn al-Fāriḍ,شرح لطيف لبعض الفضلاء على قصيدة ابن الفارض,Lexicological text,Q67908,,
Hādhā Sharḥ al-Khamrīyah naẓm Abī Ḥafẓ ʻUmar ibn al-Fāriḍ /,,هذا شرح الخمرية نظم ابي حفظ عمر بن الفارض /,Sharḥ al-Khamrīyah,شرح الخمرية,,,Sharḥ al-Khamrīyah,Q11721
Kitāb al-Witrīyāt wa-maʻdin al-anwārāt fī amdāḥ al-Nabī,,کتاب الوتريات ومعدن الانوارات في امداح النبي,Witrīyāt wa-maʻdin al-anwārāt fī amdāḥ al-Nabī,وتريات ومعدن الانوارات في امداح النبي,,,Witrīyāt wa-maʻdin al-anwārāt fī amdāḥ al-Nabī,Q12030
Takhmīs al-Qaṣāyid al-Witrīyāt lil-Shaykh al-Baghdādī,,تخميس القصايد الوتريات للشيخ البغدادي,Takhmīs al-Qaṣāʼid al-Witrīyah,تخميس القصائد الوترية,,,Takhmīs al-Qaṣāʼid al-Witrīyah,Q11945
Sharḥ al-Burdah wa-iʻrābuhā /,,شرح البردة واعرابها /,,,,,Sharḥ al-Burdah wa-iʻrābuhā,Q12066
Hādhā Sharḥ ʻAlī ibn Majd al-Dīn al-Shāmardawrī al-Busṭāmī ʻalá Burdat al-madīḥ,,هذا شرح علي بن مجد الدين الشامردوري البسطامي على بردة المديح,Sharḥ ʻalá Burdat al-madīḥ,شرح على بردة المديح,,,Sharḥ ʻalá Burdat al-madīḥ,Q11867
Kitāb Mashāriq al-anwār al-muḍīyah fī sharḥ al-Kawākib al-durrīyah /,,كتاب مشارق الانوار المضية في شرح الكواكب الدرية /,Mashāriq al-anwār al-muḍīyah fī sharḥ al-Kawākib al-durrīyah,مشارق الانوار المضية في شرح الکواکب الدرّية,,,Mashāriq al-anwār al-muḍīyah fī sharḥ al-Kawākib al-durrīyah,Q11727
Majmūʻ ḥuwiyá kitābayn ʻaẓīmayn; al-Badīʻīyah lil-Shammāʻ al-Miṣrī wa-al-Durrah al-muḍīyah ʻalá al-Kawākib al-durrīyah,,مجموع حويى كتابين عظيمين,,,Majmūʻ ḥuwiyá kitābayn ʻaẓīmayn,Q39586,,
Hādhihi Tasbīʻ al-Burdah wa-yalīhā baʻḍ qaṣāʼid,Poetry,هذه تسبيع البردة ويليها بعض قصائد,Tasbīʻ al-Burdah wa-yalīhā baʻḍ qaṣāʼid,تسبيع البردة ويليها بعض قصائد,Poetry,Q1330,,
Kitāb Sharḥ al-Hamzīyah /,,كتاب شرح الهمزية /,Sharḥ al-Hamzīyah,شرح الهمزية,,,Sharḥ al-Hamzīyah,Q11768
al-Takhmīs /,,التخميس /,,,,,Takhmīs,Q11919
Sharḥ al-Qaṣīdah al-Muḍarīyah,,شرح القصيدة المضرية,,,,,Sharḥ al-Qaṣīdah al-Muḍarīyah,Q12157
Hādhā Dīwān al-Shushtarī,,هذا ديوان الششتري,Dīwān,ديوان,,,Diwan,Q11912
Lāmīyat Ibn al-Wardī,,لاميت ابن الوردي,Sharḥ Lāmīyat Ibn al-Wardī,شرح لامية ابن الوردي,,,Sharḥ Lāmīyat Ibn al-Wardī,Q11907
Kitāb Alḥān al-sawājiʻ /,,كتاب الحان السواجع /,Alḥān al-sawājiʼ,الحان السواجئ,,,Alḥān al-sawājiʼ,Q11964
