title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-Lumʻah fī khuṣūṣīyāt yawm al-Jumʻah /,,اللمعة في خصوصيات يوم الجمعة /,,,,,Lumʻah fī khuṣūṣīyāt yawm al-Jumʻah,Q12210
al-Ajwibah al-Nāṣirīyah /,,الاجوبة الناصرية /,Ajwibah al-Nāṣirīyah fī baʻḍ masāʼil al-bādiyah,اجوبة الناصرية في بعض المسائل البادية,,,Ajwibah al-Nāṣirīyah fī baʻḍ masāʼil al-bādiyah,Q12223
Hādhā Kitāb al-Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān /,Texts on Islamic law,هذا كتاب الصلح بين الاخوان في حكم اباحة الدخان /,Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān,صلح بين الاخوان في حکم اباحة الدخان,Texts on Islamic law,Q12197,,
Ḥusn al-daʻwah lil-ijābah ilá al-qahwah /,Texts on Islamic law,حسن الدعوة للاجابة الى القهوة /,,,Texts on Islamic law,Q12197,,
Manāsik al-ḥajj /,,مناسك الحج /,,,,,Manāsik al-ḥajj,Q12009
Kitāb al-Qūt bi-sharḥ al-Yāqūt fī faḍl shahr Ramaḍān /,,كتاب القوت بشرح الياقوت في فضل شهر رمضان /,Qūt bi-sharḥ al-Yāqūt,قوت بشرح الياقوت,,,Qūt bi-sharḥ al-Yāqūt,Q11985
Khulāṣat al-bayān fī kayfīyat thubūt Ramaḍān /,Texts on Islamic law,خلاصة البيان في كيفية ثبوت رمضان /,,,Texts on Islamic law,Q12197,,
Sharḥ al-Farāyiḍ /,,شرح الفرايض /,Sharḥ al-Farāʼiḍ al-Sirājīyah,شرح الفرائض السراجية,,,Sharḥ al-Farāʼiḍ al-Sirājīyah,Q11860
Rūḥ al-shurūḥ,,روح الشروح,,,,,Rūḥ al-shurūḥ,Q11679
Hādhā Kitāb al-Isʻāf fī aḥkām al-awqāf /,,هذا كتاب الاسعاف في احكام الاوقاف /,Isʻāf fī aḥkām al-awqāf,اسعاف في احکام الاوقاف,,,Isʻāf fī aḥkām al-awqāf,Q12262
Risālat Sharḥ al-Farāʼiḍ. Sayf ṣārim ʻalá Risālat Abū al-Saʻūd fī [w]aqf al-nuqūd / lil-Birkawī,,رسالة شرح الفرائض. سيف صارم على رسالة ابو السعود في وقف النقود / للبركوي,,,Risālat Sharḥ al-Farāʼiḍ,Q12173,,
Kashf al-lithām ʻan wujūh mukhdarāt al-Ṣinf al-awwal min dhawī al-arḥām /,Texts on Islamic law,كشف اللثهام عن وجوه مخدرات الصنف الاول من ذوي الارحام /,,,Texts on Islamic law,Q12197,,
Waqfīyat Jāmiʻ al-Khānaqāh bi-Miṣr,,وقفية جامع الخانقاه بمصر,,,,,Waqfīyat Jāmiʻ al-Khānaqāh bi-Miṣr,Q12156
Kitāb Zahr al-rayāḥīn fī Riyāḍ al-ṣāliḥīn /,,كتاب زهر الرياحين في رياض الصالحين /,Zahr al-rayāḥīn fī Riyāḍ al-ṣāliḥīn,زهرالرياحين من رياض الصالحين,,,Zahr al-rayāḥīn fī Riyāḍ al-ṣāliḥīn,Q11811
Risālat Bayān ghurbat al-Islām bi-wāsiṭat ṣinfay al-mutafaqqihah wa-al-mutafaqqirah min ahl Miṣr wa-al-Shām wa-mā yalīhima min bilād al-aʻjām,,رسالة بيان غربة الاسلام بواسطة صنفي المتفقهة والمتفقرة من اهل مصر والشام وما يليهم من بلاد الاعجام,Bayān ghurbat al-Islām bi-wāsiṭat ṣinfay al-mutafaqqihah wa-al-mutafaqqirah min ahl Miṣr wa-al-Shām wa-mā yalīhima min bilād al-aʻjām,بيان غربة الاسلام بواسطة صنفي المتفقهة والمتفقرة من اهل مصر والشام وما يليهما من بلاد الاعجام,,,Bayān ghurbat al-Islām bi-wāsiṭat ṣinfay al-mutafaqqihah wa-al-mutafaqqirah min ahl Miṣr wa-al-Shām wa-mā yalīhima min bilād al-aʻjām,Q12105
Text on Islamic ethics,,,,,,,Islamic ethics,Q12171
Ṣūrat suʼāl wa-jawāb bi-maʻrifat mawāqīt al-ṣalāh ʻalá qawl ahl al-falak hal yuwāfiqu qawl ahl al-sharʻ aw lā /,,صورة سؤال وجواب بمعرفة مواقيت الصلاة على قول اهل الفلك هل يوافق قول اهل الشرع او لا /,,,,,Ṣūrat suʼāl wa-jawāb bi-maʻrifat mawāqīt al-ṣalāh ʻalá qawl ahl al-falak hal,Q11963
Sharḥ al-ṣadr bi-sharḥ urjūzat Istinzāl al-naṣr bi-al-tawassul bi-ahl Badr,,شرح الصدر بشرح ارجوزة استنزال النصر بالتوسل باهل بدر,,,,,Sharḥ al-ṣadr bi-sharḥ urjūzat Istinzāl al-naṣr bi-al-tawassul bi-ahl Badr,Q11909
Collection of Arabic texts,,,,,,,Arabic texts,Q12258
Collection of Islamic law texts,,,Works,اعمال,,,Texts on Islamic law,Q12197
Mecmua-yi hadis̲-i arbain,,مجموعة حديث اربعين,,,,,Mecmua-yi hadis̲-i arbain,Q11766
Murshid al-mutaʼahhil ... [etc,,مرشد المتأهل ... الخ,,,Murshid al-mutaʼahhil,Q11800,,
Ghāyat al-maṭlab fī al-rahn idhā dhahab ... [etc,,غاية المطلب في الرهن اذا ذهب ... الخ,,,,,,
Collection of texts by Muḥammad ibn Sālim al-Ḥifnī,,,Works,اعمال,,,Arabic texts,Q12258
Hādhā Sharḥ Ḥizb al-Shādhilī al-kabīr ... [etc,Prayers,هذا شرح حزب الشاذلي الكبير ... الخ,,,Prayers,Q798,,
al-Taṣānīf fī iṣṭilāḥ ahl al-athar ... [etc,,التصانيف في اصطلاح اهل الاثر ... الخ,,,Taṣānīf fī iṣṭilāḥ ahl al-athar,Q11826,,
Majmūʻ fīhi khamsat rasāyil li-Nūḥ Afandī,,مجموع فيه خمسة رسايل لنوح افندي,,,,,Majmūʻ fīhi khamsat rasāyil li-Nūḥ Afandī,Q11986
Collection of Arabic texts on the Qurʼān,,,,,,,Texts on the Qurʼan,Q11948
Hādh[ā] Kitāb ʻIqd al-jawāhir fī salāsil al-akābir ... [etc,,هذا كتاب عقد الجواهر في سلاسل الاكابر ... الخ,,,Hādhā Kitāb ʻIqd al-jawāhir fī salāsil al-akābir,Q11752,,
Kitāb Ittiqāʼ al-bidaʻ ... [etc,,كتاب اتقا البدع ... الخ,,,Kitāb Ittiqāʼ al-bidaʻ,Q12055,,
Selections from Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār] ... [etc,,مختارات من مجمع بحار الانوار في غرائب التنزيل ولطائف الاخبار ... الخ,,,Selections from Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār,Q12111,,
Hādhihi Arbaʻūn ḥadīth fī faḍl Qul huwa Allāh aḥad ... [etc,,هذه اربعون حديثا في فضل قل هو الله احد ... الخ,,,Hadiths,Q11863,,
al-Tanqīḥ wa-ghayrih,,التنقيح وغيره,,,,,Tanqīḥ wa-ghayrih,Q11758
Collection of Arabic texts on Hanafite Islamic law,,,,,,,Texts on Islamic law,Q12197
Ḥāshiyah ʻalá al-Risālah al-Ḥusaynīyah] ... [etc,,حاشية على الرسالة الحسينية ... الخ,,,Ḥāshiyah,Q11900,,
Risālah fī bayān aqsām al-ḥadīth ... [etc,,رسالة في بيان اقسام الحديث ... الخ,,,Risālah fī bayān aqsām al-ḥadīth,Q11887,,
Kitāb Arbaʻīn ḥadīth /,,كتاب اربعين حديث /,,,,,Arbaʻīn ḥadīth,Q12004
Murshid al-ghināʼ bi-sharḥ amthilat al-Bināʼ ... [etc,,مرشد الغناء بشرح امثلة البناء ... الخ,,,Murshid al-ghināʼ bi-sharḥ amthilat al-Bināʼ,Q11962,,
Collection of Arabic texts on Islamic inheritance law,,,,,,,Texts on Islamic law,Q12197
Collection of ijāzahs,,,,,,,Ijāzah,Q12191
Fahrasat kutub Jalāl al-Dīn al-Suyūṭī al-Shāfiʻī. Sīrat Ibn al-Jawzī,Islamic bibliography,فهرسة كتب جلال الدين السيوطي الشافعي. سيرة ابن الجوزي,,,Islamic bibliography,Q68194,,
Ijāzat Ḥāfiẓ al-Dīn Muṣṭafá ibn Rajab al-Izmīrī,,اجازة حافظ الدين مصطفى ابن رجب الازميري,,,,,,
al-Laṭāyif al-nūrīyah fī al-minaḥ al-Damanhūrīyah,,اللطايف النورية في المنح الدمنهورية,,,,,Laṭāyif al-nūrīyah fī al-minaḥ al-Damanhūrīyah,Q12110
Ijāzah,,اجازة,,,,,Ijāzah,Q12191
al-Ijāzah,,الاجازة,,,,,Ijāzah,Q12191
Thabat,,ثبت,,,,,Thabat,Q11735
Ijāzat al-Shaykh ʻAbd Allāh al-Ḥanbalī,,اجازة الشيخ عبد الله الحنبلي,Ijāzah,اجازة,,,Ijāzah,Q12191
Hādhihi ijāzat al-ʻalālim al-ʻallāmah al-Shaykh Aḥmad al-Ṣabbāgh al-Sikandarī,,هذه اجازة العلالم العلامة الشيخ احمد الصباغ السكندري,Ijāzah,اجازة,,,Ijāzah,Q12191
Kitāb al-juzʼ al-awwal min Ṣaḥīḥ /,,كتاب الجزء الاول من صحيح /,Ṣaḥīḥ,صحيح,,,Ṣaḥīḥ,Q11810
Daihan'nya haramittakyō,,大般若波羅蜜多經,Tripiṭaka,,,,Tripiṭaka,Q12750
Shūjibun abidon,,衆事分阿毗曇,Tripiṭaka,,,,Tripiṭaka,Q12750
Kōsan maka han'nya haramitsu Sanmaibon no yo kan jū Kōsangyō kanbon dai jūshichi /,,光讃摩訶般若波羅蜜三昧品之餘卷十光讃経観品第十七 /,Tripiṭaka,,,,Tripiṭaka,Q12750
"Abidatsuma kusharon ""Funbetsuzuimenbon dai go no ni"" /",,阿毗達磨俱舍論「分別随民品第五之二」 /,Tripiṭaka,,,,Tripiṭaka,Q12750
Daihō kōbutsu Kegonkyō; Nyūhokkaibon no jūroku /,,大方廣佛華嚴經,Tripiṭaka,,Tripiṭaka,Q12750,,
Safīnat al-mulk wa-nafīsat al-fulk,,سفينة الملك ونفيسة الفلك,,,,,Safīnat al-mulk wa-nafīsat al-fulk,Q11653
Turkish songs] ... [etc.,,,,,Turkish songs,Q11790,,
Juzʼ min tafsīr al-Qurʼān,,جزء من تفسير القرآن,Tafsīr Muqātil ibn Sulaymān,تفسير مقاتل بن سليمان,,,Tafsīr Muqātil ibn Sulaymān,Q11716
Kitāb al-ʻAlam fī tafsīr al-lamam /,,كتاب العلم في تفسير اللمم /,ʻAlam fī tafsīr al-lamam,علم في تفسير اللمم,,,ʻAlam fī tafsīr al-lamam,Q11823
Sharḥ Ṣaḥīḥ al-Bukhārī /,,شرح صحيح البخاري /,Sharḥ Ṣaḥīḥ al-Bukhārī,شرح صحيح البخاري,,,Sharḥ Ṣaḥīḥ al-Bukhārī,Q12124
Tercüme-yi Bahr ül-kelam,,ترجمه بحر الکلام,Baḥr al-kalām,بحر الكلام,,,Baḥr al-kalām,Q12057
Treatise on Islamic eschatology,,,,,,,Treatise on Islamic eschatology,Q12046
Persian ethical treatise,,,,,,,Ethical treatise,Q12100
Tansŏ chinam; Pukch'ang pigyŏl /,,丹書 指南,,,Tansŏ chinam,Q40050,,
al-Qurʾān,,القرآن,Qurʼan,,,,Qurʼan,Q3697
Prayers and Qur'ānic verses,,,,,,,Prayers;Qur'anic verses,Q798;Q12720
Majmūʻah-i nāyāb,,مجموعۀ ناياب,,,,,Majmūʻah-i nāyāb,Q12747
Kaishihen /,,解屍編 /,,,,,Kaishihen,Q12770
Engi shōdōkyō /,,緣起聖道経 /,Pratītyasamutpãdasūtra,,,,Yuánqǐ shèng dào jīng,Q12774
Daihannya haramitakyō /,,大般若波羅蜜多經 /,Tripiṭaka,,,,Tripiṭaka,Q12750
Daihannya haramitakyō,,大般若波羅蜜多經,Tripiṭaka,,,,Tripiṭaka,Q12750
Qin ding Rehe zhi; yi bai er shi juan /,,欽定熱河志,,,Qin ding Rehe zhi,Q39707,,
Bible,,,Bible,,,,Bible,Q661
Evangelia IV,,,,,,,Evangeliary,Q20460
Matthew with Glossa ordinaria,,,Bible,,,,Bible;Gospel of Matthew,Q661;Q1389
Luke with Glossa ordinaria,,,Bible,,,,Bible;Gospel of Luke,Q661;Q1437
John with Glossa ordinaria,,,Bible,,,,Bible;Gospel of John,Q661;Q665
"Bible, Middle English",,,Bible,,,,Bible,Q661
"Bible, New Testament, Middle English",,,Bible,,,,Bible;New Testament,Q661;Q655
Lectionary,,,,,,,Lectionary,Q663
Psalter,,,,,,,Psalter,Q660
Antiphonary,,,,,,,Antiphonary,Q654
Gradual,,,,,,,Gradual,Q1121
Book of Hours,,,,,,,Book of hours,Q795
Book of Hours; Use of Rouen,,,,,,,Book of hours,Q795
Book of Hours; Use of Rome,,,,,,,Book of hours,Q795
Tabula kalendarii,,,,,,,Calendar,Q1122
Contra Iulianum,,,Contra Julianum,,,,Contra Julianum,Q12730
Dialogorum libri IV,,,,,,,Dialogue,Q17587
Sermones Dominicales,,,,,,,Sermons,Q1400
Miscellany,,,,,,,Miscellany,Q3673
Canon law text,,,,,,,Canon law text,Q1415
Statutes of the Realm,,,,,,,Statute,Q7024
Practica geometriae,,,,,,,Geometry text,Q12727
Genealogia Christi and a universal history,,,,,,,Genealogy,Q5953
Breve dell'Arte degli Albergatori in Siena,,,,,,,Breve dell'Arte degli Albergatori,Q12739
"Statuta Mantuae ad annum 1404, libri II",,,,,,,Statute,Q7024
Statuta et regesta Collis Scipionis,,,,,,,Statute,Q7024
Ordinances,,,,,,,Ordinances,Q12786
Index rerum et materium in libris Statutorum et Ordinum civitatis Venetiarum contentarum,,,,,,,Legal index,Q12776
Fioretti,,,Fioretti di San Francesco,,,,Fioretti di San Francesco,Q7029
"Autograph letter signed; Wittenberg, to John [the Steadfast], Elector of Saxony",,,,,Letter,Q1454,,
"Autograph letter signed, philippus; to Johann Agricola",,,,,Letter,Q1454,,
"Indenture for a messuage; Higham, Suffolk, to Robert de Hovedene",,,,,Indenture,Q8388,,
"Indenture for a messuage of 120 acres; Mogerhanger, Charlton and Blownham, to John Andrews and William Wilson",,,,,Indenture,Q8388,,
Deed for sale of land; Naples,,,,,Deed of sale,Q12738,,
"Deed for sale of land; Castella Petrosa, to Atrianus, son of Stevelus, and Bonetinus, son of John",,,,,Deed of sale,Q12738,,
Legal document; Grottaferrata,,,,,Legal document,Q3666,,
"Bible, Latin (Daniel fragment)",,,Bible,,,,Bible;Book of Daniel,Q661;Q20511
Blickling Homilies,,,,,,,Blickling homilies,Q12778
Antiphonary fragment,,,,,,,Antiphonary,Q654
Gospel book,,,Bible,,,,Bible;Gospel book,Q661;Q12737
"Aurora, sive Biblia versificata",,,,,,,Aurora,Q7839
Breviary,,,,,,,Breviary,Q657
"Indenture of apprenticeship to John Gove, clerk",,,,,,,Indenture,Q8388
Bull of Pope Martin V,,,,,,,Papal bull,Q1362
"Autograph letter signed; Rome, to Filippo and Andre de Perodoles of Ferrara",,,,,Letter,Q1454,,
"Letter signed; Naples, to unnamed cardinals",,,,,Letter,Q1454,,
Psalter and Litany,,,,,,,Psalter and Litany,Q12726
Book of hours; for Sarum Use,,,,,Book of hours,Q795,,
Sermones,,,,,,,Sermons,Q1400
Collectio Dionysio-Hadriana,,,,,,,Collectio Dionysio-Hadriana,Q12766
Will of Aethelgifu,,,,,,,Will of Aethelgifu,Q12722
"Psalter with canticles, Latin and Middle English",,,Bible,,,,Psalter,Q660
Pentateuch in the Syro-Hexapla version,,,Bible,,,,Bible,Q661
Risālah fī al-ḥisāb] ... [etc,,رسالة في الحساب ... الخ,,,Risālah fī al-ḥisāb,Q12002,,
Hādhā Kitāb al-Lumʻah fī ʻilm al-ḥisāb ... [etc,,هذا كتاب اللمعة في علم الحساب ... الخ,,,Arabic texts;Mathematical texts,Q12258;Q38402,,
Majmūʻah ḥisābīyah,,مجموعة حسابية,,,,,Majmūʻah ḥisābīyah,Q11741
Kitāb Dīwān ... [etc,,كتاب ديوان ... الخ,Poems,شعر,Diwan,Q11912,,
al-Intibāh li-muʻālajat al-bāh] ... [etc,,الانتباه لمعالجة الباه ... الخ,,,Intibāh li-muʻālajat al-bāh,Q12178,,
Hādhā Kitāb mushtamilah ʻalá Siyāsat al-khayl wa-maʻrifat ṭibbihā wa-iʻlājihā bi-al-tamām ... [etc,Veterinary text,هذا كتاب مشتملة على سياسة الخيل ومعرفة طبها واعلاجها بالتمام ... الخ,,,Veterinary text,Q68195,,
Kitāb al-Maqāṣid al-ṣāliḥah fī sharḥ shay min ʻulūm al-Fātiḥah ... [etc,,كتاب المقاصد الصالحة في شرح شي من علوم الفاتحة ... الخ,,,Maqāṣid al-ṣāliḥah fī sharḥ shay min ʻulūm al-Fātiḥah,Q12150,,
Alfīyah al-Ṭayyibah ... [etc,Qur'an commentary,الفية الطيبة ... الخ,,,Qur'an commentary,Q39258,,
Hādhā Matn al-Jazarīyah ... [etc,,هذا متن الجزرية ... الخ,,,,,,
Kitāb Sharḥ al-Wāḍiḥah fī tajwīd al-Fātiḥah /,,كتاب شرح الواضحة في تجويد الفاتحة /,,,,,Sharḥ al-Wāḍiḥah fī tajwīd al-Fātiḥah,Q12118
Ḥayāt al-qulūb; Majlis,,حياة القلوب,,,Ḥayāt al-qulūb,Q39424,,
Tafsīr Sūrat al-Insān ... [etc,,تفسير سورة الانسان ... الخ,Works,اعمال,Works,Q5989,,
Kitāb al-Fatḥ al-mubīn bi-sharḥ al-Arbaʻīn /,,كتاب الفتح المبين بشرح الاربعين /,,,,,Fatḥ al-mubīn bi-sharḥ al-Arbaʻīn,Q11995
al-Khulāṣah fī maʻrifat al-ḥadīth ... [etc,,الخلاصة في معرفة الحديث ... الخ,,,Khulāṣah fī maʻrifat al-ḥadīth,Q12163,,
Hādhā majmūʻ fīhi thalāth dawāwīn; Dīwān al-Safarjalānī wa-Dīwān al-Bābī wa-Dīwān Ibn al-Naḥḥās,,هذا مجموع فيه ثلاث دواوين,,,Diwan,Q11912,,
Natījat al-fikr fī madḥ ṭayyib al-dhikr ... [etc,,نتيجة الفكر في مدح طيب الذكر ... الخ,,,Natījat al-fikr fī madḥ ṭayyib al-dhikr,Q12216,,
Matn Manẓūmat Aḥmad al-Ḥārifī wa-sharḥuhā lil-Shurunbulālī,,متن منظومة احمد الحارفي وشرحها للشرنبلالي,,,,,Matn Manẓūmat Aḥmad al-Ḥārifī wa-sharḥuhā lil-Shurunbulālī,Q11949
Kitāb majmūʻ fīhi thalāth kutub; al-Tamhīd wa-al-Kawkab al-durrī wa-al-Fatāwá al-[...] li-Ibn Firkāḥ,,كتاب مجموع فيه ثلاث كتب,,,Kitāb majmūʻ fīhi thalāth kutub,Q39499,,
Hādhihi Ḥāshiyah ʻalá Sharḥ al-Sittīn masʼalah lil-Shaykh Aḥmad al-Ramlī ... [etc,,هذه حاشية على شرح الستين مسألة للشيخ احمد الرملي ... الخ,,,Ḥāshiyah,Q11900,,
Kitāb Laqṭ al-masāyil al-fiqhīyah al-jalīlah al-mughnīyah li-man qaṣurat himmatuhu ʻan taḥṣīl kutub wāsiʻah kullīyah /,,كتاب لقط المسايل الفقهية الجليلة المغنية لمن قصرت همته عن تحصيل كتب واسعة كليه /,Works,اعمال,,,Works,Q5989
Hādhā Kitāb Sharḥ ʻAqāʼid maʻa Shams al-Dīn,Text on Islamic doctrine,هذا كتاب شرح عقائد مع شمس الدين,,,Text on Islamic doctrine,Q55095,,
Majmūat ʻaqāʼid,,مجموة عقائد,,,,,Majmūat ʻaqāʼid,Q11992
Jawharat al-tawḥīd ... [etc,,جوهرة التوحيد ... الخ,,,Jawharat al-tawḥīd,Q11938,,
Missale secundum usum fratrum ordinis beate dei genetricis Marie de Monte Carmeli,,,Missal (Carmelite),,,,Missal,Q662
Kaun kuyō giki /,,火un供養儀軌 /,Tripiṭaka,,,,Tripiṭaka,Q12750
Gradual fragment,,,,,,,Gradual,Q1121
Aeneas Siluius in Europam,,,In Europam,,,,In Europam,Q12756
Gesta Regum Anglorum,,,,,,,Gesta Regum Anglorum,Q12753
Rosarium Theologiae,,,,,,,Rosarium theologiae,Q12728
"Extracts from Heinrich Suso, Peter Damian, & PS. Bernard",,,,,,,Extracts from monastic authorities,Q12725
Catholicon,,,,,,,Catholicon,Q12729
Taibai yuan gao; shi san juan /,,太白原藁,Works,,Works,Q5989,,
Chaweng shi; ba juan /,,槎翁詩,Poems,,Poetry,Q1330,,
Bo'an xian sheng wen ji; shi yi juan,,泊菴先生文集,,,Bo'an xian sheng wen ji,Q39229,,
Fanglu wen ji; shi yi juan /,,方麓文集,Selections,,Selections,Q12769,,
Dongzhou chu gao; shi si juan /,,東洲初稿,Selections,,Selections,Q12769,,
Tanzhai Liu xian sheng wen ji; er juan] /,,坦齋劉先生文集,,,Tanzhai Liu xian sheng wen ji,Q39818,,
Huangfu Shaoxuan ji /,,皇甫少玄集 /,Works,,,,Works,Q5989
Banxuan ji /,,半軒集 /,Works,,,,Works,Q5989
"Taoxuzi shi ji; shi juan, xu ji yi juan /",,逃虛子詩集,Poems,,Poetry,Q1330,,
Zhexuan ji; wu juan /,,柘軒集,Works,,Works,Q5989,,
Yin Qiangzhai xian sheng wen ji; shi juan /,,殷強齋先生文集,Selections,,Selections,Q12769,,
Zōhyō monogatari,,雜兵物語,,,,,Zōhyō monogatari,Q12785
"Yang Zhongjie ji; shi san juan, fu lu wu juan /",,楊忠介集,Works,,Works,Q5989,,
Pu'an ji; liu juan,,蒲菴集,Selections,,Selections,Q12769,,
"Zeng ding Taibaishanren man gao; ba juan, fu lu /",,增定太白山人漫稿,,,Zeng ding Taibaishanren man gao,Q39896,,
Lou ju za zhu; Yehang wen gao ; Yehang shi gao,,樓居雜著,,,Lou ju za zhu,Q39583,,
Zhenggu Xiao xian sheng ji,,正固萧先生集,Selections,,,,Selections,Q12769
Guchuan ji; ba juan /,,\\\\\\|\\\\\\|川集,Selections,,Selections,Q12769,,
Wu Wensu gong zhai gao; si juan /,,吳文肅公摘稿,,,Wu Wensu gong zhai gao,Q39889,,
Gao Manshi mu tian qing qi ji; shi si juan,,高漫士木天清氣集,,,Gao Manshi mu tian qing qi ji,Q39401,,
Xu zhou ji; wu juan /,,虛舟集,Poems,,Poetry,Q1330,,
Pan'gu ji; shi juan /,,盘古集,,,Pan'gu ji,Q39667,,
Tiantai Lin Gongfu xian sheng wen ji,,天台林公輔先生文集,Selections,,,,Selections,Q12769
Liang yuan yu gao shi ji; jiu juan /,,梁園寓藁詩集,Poems,,Poetry,Q1330,,
Dounanlaoren shi ji; si juan /,,斗南老人詩集,,,Dounanlaoren shi ji,Q39355,,
Zi yi ji /,,自怡集 /,,,,,Zi yi ji,Q12757
Xile xian sheng shi ji,,畦樂先生詩集,Poems,,,,Poetry,Q1330
Lin'an ji /,,臨安集 /,,,,,Lin'an ji,Q12755
Yin qiao ji; shi juan /,,蚓竅集,,,Yin qiao ji,Q39893,,
Wang yun ji; wu juan /,,望雲集,,,Wang yun ji,Q39881,,
Yian wen xuan; er juan] /,,頤庵文選,Selections,,Selections,Q12769,,
Bai yun gao /,,白雲稿 /,,,,,Bai yun gao,Q12768
Mi'an ji; ba juan /,,密庵集,,,Mi'an ji,Q39611,,
Tian ma shan fang yi gao /,,天馬山房遺稿 /,Selections,,,,Selections,Q12769
Xing qian ji,,省愆集,,,,,Xing qian ji,Q12759
Dong gao lu; er juan,,東臯錄,,,Dong gao lu,Q39354,,
"Quan shi ji; ba juan, huan shou yi juan, bu yi juan, /",,全室集,,,Quan shi ji,Q39709,,
Guanguang shi ji; Zhu jiao Hou xian sheng wen ji,,觀光詩集,,,Guanguang shi ji,Q39411,,
Artis metrice practice compilatio,,,,,,,Artis metrice practice compilatio,Q12771
Gospel lectionary,,,,,,,Lectionary,Q663
Funeral Service in Greek and Arabic,,,,,Funeral office,Q12717,,
Huang Ming su huang wai shi; si shi liu juan /,,皇明肅皇外史,,,Huang Ming su huang wai shi,Q39440,,
"Tianmu xian sheng ji; er shi yi juan, fu lu /",,天目先生集,,,"Tianmu xian sheng ji",Q39833,,
"Huang Ming shi fa lu; jiu shi er juan, juan shou si juan /",,皇明世法錄,,,Huang Ming shi fa lu,Q39439,,
Dafu ji; san shi qi juan /,,大復集,,,Dafu ji,Q39279,,
Fu xi wen cui; shi wu juan /,,浮溪文粹,,,Fu xi wen cui,Q39399,,
Zi zhi tong jian jie yao xu bian; san shi juan /,,資治通鑑節要續編,,,Zi zhi tong jian jie yao xu bian,Q39897,,
Shi qi shi xiang jie; er bai qi shi san juan,,十七史詳節,,,Shi qi shi xiang jie,Q39787,,
"Xin kan Tang Jingchuan xian sheng bai bian; yi bai er shi juan, mu lu : [san juan] /",,新刊唐荊川先生稗編,,,Xin kan Tang Jingchuan xian sheng bai bian,Q39892,,
Tong dian; er bai juan /,,通典,,,Tong dian,Q39834,,
Bai jia lei zuan; si shi juan /,,百家類纂,,,Bai jia lei zuan,Q39216,,
Guanzi que; er shi si juan /,,管子榷,,,Guanzi que,Q39412,,
Da Ming ji li; wu shi san juan /,,大明集禮,,,Da Ming ji li,Q39280,,
Li dai Tong jian zuan yao; jiu shi er juan /,,歷代通鑑纂要,,,Li dai Tong jian zuan yao,Q39565,,
Amerika] shokan utsushi [niken,,亜美理駕書翰寫 二件,,,Amerika shokan utsushi niken,Q12784,,
Man'yōshū chōka tanka no setsu,,萬葉集長歌短歌之說,,,,,Man'yōshū chōka tanka no setsu,Q12719
Nansŏrhŏn chip,,蘭雪軒 集,,,,,Nansŏrhŏn chip,Q12741
Chōsen hachidō no zu /,,朝鮮八道之圖　/,,,,,Chōsen hachidō no zu,Q12762
Li dai xun li zhuan; ba juan /,,歷代循吏傳,,,Li dai xun li zhuan,Q39566,,
Kanjin ronsho,,觀心論疏,,,,,Kanjin ronsho,Q12794
Shaowei Tong jian jie yao; wu shi juan,,少微通鑑節要,,,Shaowei Tong jian jie yao,Q39777,,
Kirishitan shūmon sensaku aratamechō; Genroku 7-nen jutsu 3-gatsu : Nakagōri-suji Fujimaki-mura,,切支丹宗門穿鑿改帳　,,,Kirishitan shūmon sensaku aratamechō,Q39974,,
Gao huang di yu zhi wen ji; er shi juan,,高皇帝御製文集,,,Gao huang di yu zhi wen ji,Q39400,,
Heike monogatari,,平家物語,Heike monogatari,平家物語,,,Heike monogatari,Q12733
Psalter,,,Psalter (Princeton University Library. Garrett MS. 35),,,,Psalter,Q660
Qianlong 47 nian chu ru yin qian liu shui zhang,,乾隆肆拾柒年出入銀錢流水帳,,,,,Qianlong 47 nian chu ru yin qian liu shui zhang,Q12763
P'aemunjae yŏngmul sisŏn,,佩文齋 詠物 詩選,Pei wen zhai yong wu shi xuan,佩文齋 詠物 詩選,,,Pei wen zhai yong wu shi xuan,Q12718
Kitāb Tuḥfat al-adīb fī al-radd ʻalá ahl al-ṣalīb /,,كتاب تحفة الاديب في الرد على اهل الصليب /,Tuḥfat al-arīb fī al-radd ʻalá ahl al-ṣalīb,تحفة الاريب في الرد على اهل الصليب,,,Tuḥfat al-arīb fī al-radd ʻalá ahl al-ṣalīb,Q12026
Ṣaḥīḥ; al-Juzʼ al-ḥādī wa-al-ʻishrūn /,,صحيح,Jāmiʻ al-ṣaḥīḥ,جامع الصحيح,Jāmiʻ al-ṣaḥīḥ,Q12187,,
Kitāb Ḥilyat al-awliyāʼ,,كتاب حلية الاولياء,Ḥilyat al-awliyāʼ,حلية الاولياء,,,Ḥilyat al-awliyāʼ,Q11915
al-Qaṣīdah al-mubārakah,,القصيدة المباركة,Burdah,بردة,,,Burdah,Q11794
