title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-Kharāj,,,,,,,
al-Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr,,,,,,,
Tuḥfat al-ḥarīṣ ʻalá al-Talkhīṣ,,,,,,,
Tartīb al-Jāmiʻ al-ṣaghīr,,,,Tartīb al-Jāmiʻ al-ṣaghīr,Q12251,,
Sharḥ al-Jāmiʻ al-ṣaghīr,,,,Sharḥ al-Jāmiʻ al-ṣaghīr,Q12219,,
Naẓm al-Jāmiʻ al-ṣaghīr,,,,,,,
Aḥkām al-wuqūf,,,,,,,
Sharḥ Adab al-qāḍī,,,,Sharḥ Adab al-Qāḍī,Q63886,,
Kitāb al-ḥiyal wa-al-makhārij,,,,,,,
Sharḥ al-Mukhtaṣar fī al-fiqh,,,,,,,
Khizānat al-fiqh,,,,Khizānat al-fiqh,Q12014,,
Fatāwá al-nawāzil,فتاوى النوازل,,,Fatāwá al-nawāzil,Q63887,,
Sharḥ Mukhtaṣar al-Qudūrī,,,,,,,
Mushkilāt al-Qudūrī,,,,,,,
Kashf al-Qudūrī,,,,,,,
Mukhtaṣar min Mukhtaṣar al-Qudūrī,,,,,,,
al-Tajrīd,,,,,,,
Jumal al-aḥkām,,,,,,,
al-Jamʻ bayna waqfay Hilāl wa-al-Khaṣṣāf,,,,,,,
al-Nutaf fī al-fiqh,,,,,,,
Mukhtaṣar Ghurar al-shurūṭ,,,,,,,
Khizānat al-fatāwá,,,,Khizānat al-fatāwá,Q63888,,
ʻUmdat al-muftī wa-al-mustaftī,,,,,,,
Khulāṣat al-fatāwá,,,,Khulāṣat al-fatāwá,Q63862,,
al-Wajīz fī al-furūʻ,,,,,,,
al-Fatāwá al-Sirājīyah,,,,Fatāwá,Q12221,,
Kitāb Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn,كتاب مجمع البحرين وملتقى النيرين,Majmaʻ al-baḥrayn,مجمع البحرين,Majmaʻ al-Bahrayn,Q12033,,
Kitāb Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn /,كتاب مجمع البحرين وملتقى النيرين /,,,Majmaʻ al-Bahrayn,Q12033,,
Kitāb Majmaʻ al-baḥrayn,كتاب مجمع البحرين,Majmaʻ al-baḥrayn,مجمع البحرين,Majmaʻ al-Bahrayn,Q12033,,
Majmaʻ al-baḥrayn,مجمع البحرين,,,Majmaʻ al-Bahrayn,Q12033,,
Sharḥ Majmaʻ al-Baḥrayn,شرح مجمع البحرين,,,Sharh Majmaʻ al-Bahrayn,Q63877,,
Sharḥ Majmaʻ al-Baḥrayn /,شرح مجمع البحرين للشيخ الفاضل عبد اللطيف افندى,,,Sharh Majmaʻ al-Bahrayn,Q63877,,
Sharḥ al-Niẓām al-Dīn,شرح النظام الدين,Sharḥ Majmaʻ al-Baḥrayn,شرح مجمع البحرين,Sharh Majmaʻ al-Bahrayn,Q63877,,
al-Jild al-awwal [al-thānī] min Sharḥ Majmaʻ al-Baḥrayn /,الجلد الاول الثاني من شرح مجمع البحرين /,Sharḥ Majmaʻ al-Baḥrayn,شرح مجمع البحرين,Sharh Majmaʻ al-Bahrayn,Q63877,,
Five Arabic treatises on Islamic law and doctrine,,,,Texts on Islamic law,Q12197,,
Kanz al-daqaʼiq,,,,Kanz al-Daqaʼiq,Q63872,,
Kanz al-daqāʼiq,,,,Kanz al-Daqaʼiq,Q63872,,
