row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
100,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284922Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577245Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595061Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732223Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091980Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188906Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229860Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847132Z","Takeo, Zenchiku, 1782-1837",author,"竹尾善筑, 1782-1837",,Zenchiku Takeo,human,Q122946649,,,
101,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284927Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577249Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595064Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732240Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092014Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188920Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229873Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847136Z","Tanba, Muneyasu, 1505-1529",author,"丹波宗康, 1505-1529",,"Tanba, Muneyasu",human,Q123006802,,,
102,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284930Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577252Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595068Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732247Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092026Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188939Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229890Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847144Z","Tang, Shunzhi, 1507-1560",author,"唐順之, 1507-1560",http://id.loc.gov/authorities/names/n85362621,Tang Shunzhi,human,Q10923051,,,
103,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284934Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577257Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595071Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732265Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092032Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188953Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229902Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847149Z","Treby, Richard",author,,,Richard Treby,human,Q123006869,,,
104,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284942Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577263Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595074Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732280Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092042Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188966Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229913Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847155Z",Vasubandhu,author,,http://id.loc.gov/authorities/names/n80121194,Vasubandhu,human,Q316343,,,
105,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284945Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577266Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595079Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732286Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092048Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188989Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229928Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847163Z",Vasumitra,author,,http://id.loc.gov/authorities/names/nr96001759,Vasumitra,human,Q24327,,,
106,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284949Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577270Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595082Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732296Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092057Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189054Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229941Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847168Z","Wang, Cheng, 1370-1415",author,"王偁, 1370-1415",http://id.loc.gov/authorities/names/nr93015092,Wang Cheng,human,Q45426073,,,
107,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284954Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577275Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595085Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732305Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092065Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189072Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229953Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847172Z","Wang, Han, active 14th century",author,"王翰, 14th cent",http://id.loc.gov/authorities/names/n81117472,Wang Han,human,Q16906192,,,
108,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284957Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577277Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595089Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732311Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092070Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189096Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229968Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847185Z","Wang, Qiao, 1521-1599",author,"王樵, 1521-1599",http://id.loc.gov/authorities/names/n87855961,Wang Qiao,human,Q45427488,,,
109,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284961Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577284Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595092Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732320Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092075Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189110Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229980Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847190Z","Wang, Xing, active 14th century",author,"王行, 14th cent",http://id.loc.gov/authorities/names/n83214571,Wang Xing,human,Q123005737,,,
110,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284968Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577290Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595095Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732335Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092090Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189122Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229993Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847196Z","Wang, Zao, 1079-1154",author,"汪藻, 1079-1154",http://id.loc.gov/authorities/names/no2006017114,Wang Zao,human,Q11137143,,,
111,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284972Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577293Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595102Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732349Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092096Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189143Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.230012Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847204Z","Wiggins, Annie L",former owner,,,Annie L. Wiggins,human,Q123006917,,,
112,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284975Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577297Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595104Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732358Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092101Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189156Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.230023Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847210Z","William, of Malmesbury, approximately 1090-1143",author,,http://id.loc.gov/authorities/names/n81129741,,,,human,William of Malmesbury,Q345524
113,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284981Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577302Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595107Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732369Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092115Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189170Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.231537Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847215Z","Wu, Chen, -1386",author,"吳沉, d.1386",http://id.loc.gov/authorities/names/no2004096820,Wu Chen,human,Q15932258,,,
114,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284984Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577305Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595111Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732375Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092121Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189189Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.237390Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847222Z","Wu, Yan, 1457-1519",author,"吳儼, 1457-1519",http://id.loc.gov/authorities/names/no2002116208,Wu Yan,human,Q123006967,,,
115,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284987Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577309Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595132Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732393Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092130Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189202Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238533Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847426Z","Xia, Liangsheng, jin shi 1508",author,"夏良勝, jin shi 1508",http://id.loc.gov/authorities/names/nr96021095,Xia Liangsheng,human,Q45425092,,,
116,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284992Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577313Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595135Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732767Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092140Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189216Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238567Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847437Z","Xiao, Qi, 1325-1396",author,"萧歧, 1325-1396",,Xiao Qi,human,Q45498204,,,
117,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284995Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577315Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595142Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732776Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092146Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189237Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238587Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847443Z","Xie, Su, active 1367-1375",author,"謝肅, fl. 1367-1375",http://id.loc.gov/authorities/names/n88012028,Xie Su,human,Q122947486,,,
118,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284998Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577319Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595144Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732784Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092151Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189252Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238598Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847448Z","Xu, Zhongxing, 1517-1578",author,"徐中行, 1517-1578",http://id.loc.gov/authorities/names/no2007015750,Xu Zhongxing,human,Q8045165,,,
119,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285003Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577323Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595152Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732792Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092162Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189265Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238609Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847461Z","Yamamoto, Tsunetomo, 1659-1719",author,"山本常朝, 1659-1719",http://id.loc.gov/authorities/names/n50057435,Yamamoto Tsunetomo,human,Q548162,,,
120,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285006Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577326Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595154Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732796Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092168Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189286Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238623Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847466Z","Yang, Jue, 1493-1549",author,"楊爵, 1493-1549",http://id.loc.gov/authorities/names/nr96021158,Yang Jue,human,Q11101888,,,
121,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285010Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577365Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595157Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732803Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092174Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189299Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238634Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847471Z","Yao, Guangxiao, 1335-1419",author,"姚廣孝, 1335-1419",http://id.loc.gov/authorities/names/n87873474,Yao Guangxiao,human,Q10943311,,,
122,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285019Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577369Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595162Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732810Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092183Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189313Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238643Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847479Z","Yin, Kui, 1331-1376",author,"殷奎, 1331-1376",http://id.loc.gov/authorities/names/no2002094437,Yin Kui,human,Q45424247,,,
123,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285022Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577372Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595165Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732814Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092188Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189332Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238667Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847484Z","Zhu, Cunli, 1444-1513",author,"朱存理, 1444-1513",http://id.loc.gov/authorities/names/nr93050582,Zhu Cunli,human,Q11093823,,,
124,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285025Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577378Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595167Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732825Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092196Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189345Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238676Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847489Z","Zhu, You, 1314-1376",author,"朱右, 1314-1376",http://id.loc.gov/authorities/names/nr93015619,Zhu You,human,Q10329934,,,
125,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285034Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577381Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595172Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732829Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092208Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189359Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238686Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847496Z","Zhu, Zhe, 1486-1552",author,"朱淛, 1482-1552",http://id.loc.gov/authorities/names/no2003001701,Zhu Zhe,human,Q11094356,,,
126,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.285037Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577383Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595175Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732834Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.092214Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.189378Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.238700Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847501Z","Zongle, Shi, 1318-1391",author,"宗泐, Shi, 1318-1391",http://id.loc.gov/authorities/names/n78021525,Zongle Shi,human,Q45427954,,,
