place_as_recorded,authorized_label,structured_value,ds_qid
Bamberg?,Bamberg,http://vocab.getty.edu/tgn/7004325,Q6976
"Bamberg?, Germany",Bamberg;Germany,http://vocab.getty.edu/tgn/7004325;http://vocab.getty.edu/tgn/7000084,Q6976;Q131
Bandar Sūrat,Sūrat,http://vocab.getty.edu/tgn/7001592,Q27488
"Bangkok, Thailand",Bangkok;Thailand,http://vocab.getty.edu/tgn/7000983;http://vocab.getty.edu/tgn/1000142,Q42468;Q42469
Barcelona,Barcelona,http://vocab.getty.edu/tgn/7007426,Q16423
"Barcelona, Spain",Barcelona;Spain,http://vocab.getty.edu/tgn/7007426;http://vocab.getty.edu/tgn/1000095,Q16423;Q129
Bardolino,Bardolino,http://vocab.getty.edu/tgn/7008874,Q76262
Barga,Barga,http://vocab.getty.edu/tgn/7006242,Q38151
Barūdah,Vadodara,http://vocab.getty.edu/tgn/7001505,Q48686
"Basel, Switzerland",Basel;Switzerland,http://vocab.getty.edu/tgn/7007269;http://vocab.getty.edu/tgn/7011731,Q38152;Q652
"Basel-Landschaft?, Switzerland",Basle-Country;Switzerland,http://vocab.getty.edu/tgn/7003740;http://vocab.getty.edu/tgn/7011731,Q5002;Q652
"Basse-Alsace, France",Alsace;France,http://vocab.getty.edu/tgn/7024265;http://vocab.getty.edu/tgn/1000070,Q38135;Q122
"Bastogne, Belgium",Bastogne;Belgium,http://vocab.getty.edu/tgn/7007861;http://vocab.getty.edu/tgn/1000063,Q76345;Q1243
Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669,Q1303
"Bavaria, Germany",Bavaria;Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084,Q1303;Q131
"Bavaria?, Germany",Bavaria;Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084,Q1303;Q131
"Bavaria?, Southern Germany",Bavaria;Southern Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/4004316,Q1303;Q4333
