item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131477612,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.15",manuscript containing Beauvais Missal,DS11434,Q49666,Q49667,Ohio State University,Spec.Rare.MS.MR.Frag.15
http://www.wikidata.org/entity/Q131477644,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.16",manuscript containing Breviary,DS11435,Q49669,Q49670,Ohio State University,Spec.Rare.MS.MR.Frag.16
http://www.wikidata.org/entity/Q131477645,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.17",manuscript containing Psalter,DS11436,Q49672,Q49673,Ohio State University,Spec.Rare.MS.MR.Frag.17
http://www.wikidata.org/entity/Q131477646,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.18",manuscript containing Breviary,DS11437,Q49675,Q49676,Ohio State University,Spec.Rare.MS.MR.Frag.18
http://www.wikidata.org/entity/Q131477647,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.19",manuscript containing Bible (portable),DS11438,Q49678,Q49679,Ohio State University,Spec.Rare.MS.MR.Frag.19
http://www.wikidata.org/entity/Q131477648,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.20",manuscript containing Psalter,DS11439,Q49681,Q49682,Ohio State University,Spec.Rare.MS.MR.Frag.20
http://www.wikidata.org/entity/Q131477649,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.21",manuscript containing Processional,DS11440,Q49684,Q49685,Ohio State University,Spec.Rare.MS.MR.Frag.21
http://www.wikidata.org/entity/Q131477650,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.22",manuscript containing Warburg Missal,DS11441,Q49687,Q49688,Ohio State University,Spec.Rare.MS.MR.Frag.22
http://www.wikidata.org/entity/Q131477651,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.23",manuscript containing Breviary,DS11442,Q49690,Q49691,Ohio State University,Spec.Rare.MS.MR.Frag.23
http://www.wikidata.org/entity/Q131477652,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.24",manuscript containing Breviary,DS11443,Q49693,Q49694,Ohio State University,Spec.Rare.MS.MR.Frag.24
http://www.wikidata.org/entity/Q131477653,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.25",manuscript containing Book of Hours,DS11444,Q49696,Q49697,Ohio State University,Spec.Rare.MS.MR.Frag.25
