item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106248,"Williamstown, Massachusetts, Williams College, Codex Mss 041",manuscript containing Bālabodhinī,DS25520,https://search.digital-scriptorium.org/catalog/DS25520,Q98286,Q98287,Williams College,Codex Mss 041
http://www.wikidata.org/entity/Q138106250,"Williamstown, Massachusetts, Williams College, Codex Mss 042","manuscript containing Traslado del apeo original para en el contaduría de la población y de las haciendas así de cristianos como de moriscos términos pastos y montes de la Villa de Tolox, año de 1725",DS25521,https://search.digital-scriptorium.org/catalog/DS25521,Q98289,Q98290,Williams College,Codex Mss 042
http://www.wikidata.org/entity/Q138106251,"Williamstown, Massachusetts, Williams College, Codex Mss 043",manuscript containing Legal document,DS25522,https://search.digital-scriptorium.org/catalog/DS25522,Q98292,Q98293,Williams College,Codex Mss 043
http://www.wikidata.org/entity/Q138105918,"Williamstown, Massachusetts, Williams College, Gen Mss Arnaud Vault",manuscript containing [Portolan Atlas],DS25523,https://search.digital-scriptorium.org/catalog/DS25523,Q98295,Q98296,Williams College,Gen Mss Arnaud Vault
http://www.wikidata.org/entity/Q138106252,"Williamstown, Massachusetts, Williams College, Gen Mss Qur'an Juz' 12 China",manuscript containing [al-Qur'an. Juz' Wa mā min dābbatin]; القرآن. جزء وَمَا مِنْ دَآبَّةٍ,DS25524,https://search.digital-scriptorium.org/catalog/DS25524,Q98298,Q98299,Williams College,Gen Mss Qur'an Juz' 12 China
http://www.wikidata.org/entity/Q138106254,"Williamstown, Massachusetts, Williams College, Gen Mss Qur'an Juz' 12 Iran",manuscript containing [al-Qur'an. Juz' Wa mā min dābbatin],DS25525,https://search.digital-scriptorium.org/catalog/DS25525,Q98301,Q98302,Williams College,Gen Mss Qur'an Juz' 12 Iran
http://www.wikidata.org/entity/Q138106255,"Williamstown, Massachusetts, Williams College, Gen Mss Qur'an Juz' 18",manuscript containing [al-Qur'an. Juz' Qad aflaḥa.],DS25526,https://search.digital-scriptorium.org/catalog/DS25526,Q98304,Q98305,Williams College,Gen Mss Qur'an Juz' 18
http://www.wikidata.org/entity/Q138106256,"Williamstown, Massachusetts, Williams College, Gen Mss Qur'an 18--",manuscript containing al-Qurʼān,DS25527,https://search.digital-scriptorium.org/catalog/DS25527,Q98307,Q98308,Williams College,Gen Mss Qur'an 18--
http://www.wikidata.org/entity/Q138106262,"Williamstown, Massachusetts, Williams College, Gen Mss Qur'an 1833",manuscript containing al-Qurʼān,DS25528,https://search.digital-scriptorium.org/catalog/DS25528,Q98310,Q98311,Williams College,Gen Mss Qur'an 1833
http://www.wikidata.org/entity/Q138106266,"Williamstown, Massachusetts, Williams College, Gen Mss Fiqh 1717","manuscript containing Fiqh manuscript, 1189 H.",DS25529,https://search.digital-scriptorium.org/catalog/DS25529,Q98313,Q98314,Williams College,Gen Mss Fiqh 1717
