title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
al-Tawḍīḥ fī ḥall ghawāmiḍ al-Tanqīḥ,التوضيح في حل غوامض التنقيح,Tawḍīḥ,توضيح,Tawḍīḥ,
al-Thānī min Kitāb Rawḍ al-unuf fī sharḥ mushkilāt alfāẓ Sīrat al-Nabī ṣallá Allāh ʻalayhi wa-sallam /,"الثاني من كتاب روض الانف في شرح مشكلات الفاظ سيرة النبي صلى الله عليه وسلم
				/",Rawḍ al-unuf,روض الانف,Rawḍ al-unuf,
al-Wāfiyah fī sharḥ al-Kāfiyah,الوافية في شرح الکافية.,,,Wāfiyah fī sharḥ al-Kāfiyah,
al-Wajīz fī al-uṣūl,الوجيز في الاصول.,,,Wajīz fī al-uṣūl,
al-Zahr al-fāyiq fī mawlid ashraf al-khalāyiq /,الزهر الفايق في مولد اشرف الخلايق /,Zahr al-fāʼiq fī mawlid ashraf al-khalāʼiq,زهر الفائق في مولد اشرف الخلائق,Zahr al-fāʼiq fī mawlid ashraf al-khalāʼiq,
al-Zīj al-jadīd,الزيج الجديد.,,,Zīj al-jadīd,
al-ʻIqd al-farīd lil-Malik al-Saʻīd,العقد الفريد للملك السعيد.,,,ʻIqd al-farīd lil-Malik al-Saʻīd,
al-ʻUjālah al-wāfiyah fī al-siyāsah al-dīnīyah wa-al-dunyawiyah wa-aḥkām al-firāsah al-ḥukmīyah /,"العجالة الوافية في السياسة الدينية والدنيوية واحكام الفراسة الحكمية
				/",,,ʻUjālah al-wāfiyah fī al-siyāsah al-dīnīyah wa-al-dunyawiyah wa-aḥkām al-firāsah al-ḥukmīyah,
al-ʻUmdah fī al-aḥkām fī al-ḥadīth /,العمدة في الاحكام في الحديث /,ʻUmdat al-aḥkām,عمدة الاحكام,ʻUmdat al-aḥkām,
Amthilah ... etc,امثلة ... الخٍ,,,,
Anwār al-tanzīl wa-asrār al-taʼwīl,انوار التنزيل واسرار التأويل.,,,Anwār al-tanzīl wa-asrār al-taʼwīl,
Arabic miscellany,,,,Arabic miscellany,
Arabic-Turkish vocabulary,,,,Arabic-Turkish vocabulary,
Arabic-Turkish vocabulary ... etc,,,,Arabic-Turkish vocabulary,
Ashraf al-wasāyil ilá fahm al-Shamāyil /,اشرف الوسايل الى فهم الشمايل /,Ashraf al-wasāʼil ilá fahm al-Shamāʼil,اشرف الوسائل الى فهم الشمائل,Ashraf al-wasāʼil ilá fahm al-Shamāʼil,
Asmāʼ al-rijāl min al-ṣaḥābah wa-al-tābiʻīn,اسماء الرجال من الصحابة والتابعين.,Ikmāl fī asmāʼ al-rijāl,اكمال في اسماء الرجال,Ikmāl fī asmāʼ al-rijāl,
Astronomical miscellany,,,,Astronomy,
Āṭah'li ve Zeynîzade ve Birgivî şerhi,آطه‌لي وزيني‌زادة وبرغي شرح.,,,,
Badīʻīyah,بديعية.,,,Badīʻīyah,
Badīʻīyah /,بديعية /,,,Badīʻīyah,
Badr al-majāmīʻ,بدر المجاميع.,,,Badr al-majāmīʻ,
Bidāyat al-qārī fī khatm Ṣaḥīḥ al-Bukhārī,بداية القاري في ختم صحيح البخاري.,,,,
