File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20240903-titles-indiana-mets-legacy.csv,"Letter to Hugh of St. Victor, refuting Arnulph",,,,,,Letter to Hugh of Saint Victor,"Q1441"
20240903-titles-indiana-mets-legacy.csv,Letter to Master William the monk on baptism,,,,,,Letter to Master William,"Q1419"
20240903-titles-indiana-mets-legacy.csv,Letter to all Christians on the mystery of the incarnation,,,,Letter;Religious text,Q1454;Q1465,,
20240903-titles-indiana-mets-legacy.csv,De duodecim abusionibus saeculi,,,,,,De duodecim abusivis,"Q1424"
20240903-titles-indiana-mets-legacy.csv,De rota verae et falsae religionis,,,,,,De rota verae et falsae religionis,"Q1458"
20240903-titles-indiana-mets-legacy.csv,Incipit prefatio magistri hugonis in libro de rota vere religionis,,,,,,De rota verae et falsae religionis,"Q1458"
20240903-titles-indiana-mets-legacy.csv,De vita contemplativa et activa,,,,,,De vita contemplativa,"Q659"
20240903-titles-indiana-mets-legacy.csv,Sententia ex Augustino delibitae,,,,,,Sententia ex Augustino delibitae,"Q38380"
20240903-titles-indiana-mets-legacy.csv,Confessio,,,,Confession,Q18547,,
20240903-titles-indiana-mets-legacy.csv,De conceptu virginali et de originali peccatu,,,,,,De conceptu virginali et originali peccato,"Q1442"
20240903-titles-indiana-mets-legacy.csv,De processione Spiritus sancti,,,,,,De processione Spiritus sancti,"Q1412"
20240903-titles-indiana-mets-legacy.csv,Epitaphium petri comestoris,,,,Epitaph,Q1446,,
20240903-titles-indiana-mets-legacy.csv,Epitaph,,,,,,Epitaph,"Q1446"
20240903-titles-indiana-mets-legacy.csv,Epitaphium Comitis henrici,,,,Epitaph,Q1446,,
20240903-titles-indiana-mets-legacy.csv,Decretumor Concordantia discordantium canonum,,,,,,Decretum Gratiani,"Q1428"
20240903-titles-indiana-mets-legacy.csv,Media Glossatura in Epistolas Pauli,,,,,,Media glossatura in Epistolas Pauli,"Q1354"
20240903-titles-indiana-mets-legacy.csv,Biblical Commentary,,,,,,Bible commentary,"Q1433"
20240903-titles-indiana-mets-legacy.csv,Magna Glossatura in Epistolas Pauli,,,,,,Magna glossatura,"Q1481"
20240903-titles-indiana-mets-legacy.csv,Historia Scholastica,,,,,,Historia scholastica,"Q1372"
20240903-titles-indiana-mets-legacy.csv,Incipit summa magistri petri manducatoris super literam in lucam,,,,,,Bible commentary;Commentary on Luke,"Q1433;Q1345"
20240903-titles-indiana-mets-legacy.csv,Biblical History,,,,,,Bible history,"Q1405"
20240903-titles-indiana-mets-legacy.csv,Gregorialis,,,,,,Gregorialis,"Q1365"
20240903-titles-indiana-mets-legacy.csv,Anthology,,,,,,Anthology,"Q1327"
20240903-titles-indiana-mets-legacy.csv,"Giant Bible, Atlantic Bible",,,,,,Bible,"Q661"
20240903-titles-indiana-mets-legacy.csv,Incipit epistola secundi Johannis prima ad parthos,,,,,,Epistles of John,"Q1321"
20240903-titles-indiana-mets-legacy.csv,Bible,,,,,,Bible,"Q661"
20240903-titles-indiana-mets-legacy.csv,Satires,,,,,,Satires,"Q1364"
20240903-titles-indiana-mets-legacy.csv,"Describit iter suum ad brundisi, sermo Vus",,,,Travel writings,Q48579,,
20240903-titles-indiana-mets-legacy.csv,Magna Glossatura in Psalmost,,,,,,Magna glossatura,"Q1481"
20240903-titles-indiana-mets-legacy.csv,Acts,,,,,,Acts of the Apostles,"Q6009"
20240903-titles-indiana-mets-legacy.csv,Canonical Epistles,,,,,,Epistles,"Q1466"
20240903-titles-indiana-mets-legacy.csv,Apocalypse,,,,,,Book of Revelation,"Q1484"
20240903-titles-indiana-mets-legacy.csv,Liber gestorum barlaam et Josaphat,,,,,,Barlaam et Josaphat,"Q1399"
20240903-titles-indiana-mets-legacy.csv,"Incipit liber gestorum Barlaam & Iosaphat servorum dei, editus greco sermone a iohanne damasceno",,,,,,Barlaam et Josaphat,"Q1399"
20240903-titles-indiana-mets-legacy.csv,Table of Contents,,,,,,Table of contents,"Q1391"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T.",,,,,,Bible;New Testament,"Q661;Q655"
20240903-titles-indiana-mets-legacy.csv,Vitae sanctorum,,,,,,Lives of the Saints,"Q1483"
20240903-titles-indiana-mets-legacy.csv,Incipit vita beati Materni Coloniensis Archiepiscopi,,,,,,Life of the Maternus of Cologne,"Q1407"
20240903-titles-indiana-mets-legacy.csv,Saints Lives,,,,,,Lives of the Saints,"Q1483"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T., Numbers",,,,,,Bible;New Testament;Book of Numbers,"Q661;Q655;Q1408"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T., Ezekiel",,,,,,Bible;New Testament;Book of Ezekiel,"Q661;Q655;Q1342"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T., Luke",,,,,,Bible;New Testament;Gospel of Luke,"Q661;Q655;Q1437"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T., Acts",,,,,,Bible;New Testament;Acts of the Apostles,"Q661;Q655;Q6009"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T., Revelations",,,,,,Bible;New Testament;Book of Revelation,"Q661;Q655;Q1484"
20240903-titles-indiana-mets-legacy.csv,"Bible, N.T., Timothy",,,,,,Bible;New Testament;First Epistle to Timothy;Second Epistle to Timothy,"Q661;Q655;Q1427;Q38354"
20240903-titles-indiana-mets-legacy.csv,de memoria et reminiscentia,,,,,,De memoria et reminiscentia,"Q1377"
20240903-titles-indiana-mets-legacy.csv,de somno et vigilia,,,,,,De somno et vigilia,"Q1349"
20240903-titles-indiana-mets-legacy.csv,Explicit liber de memoria & reminiscentia. Incipit liber de sompno & vigilia,,,,,,De memoria et reminiscentia;De somno et vigilia,"Q1377;Q1349"
20240903-titles-indiana-mets-legacy.csv,Missal,,,,,,Missal,"Q662"
20240903-titles-indiana-mets-legacy.csv,Antiphonal,,,,,,Antiphonary,"Q654"
20240903-titles-indiana-mets-legacy.csv,"Antiphonary, Dominican use",,,,,,Antiphonary,"Q654"
20240903-titles-indiana-mets-legacy.csv,Book of Hours,,,,,,Book of hours,"Q795"
20240903-titles-indiana-mets-legacy.csv,Lectura super Codicem,,,,,,Lectura super Codicem,"Q1438"
20240903-titles-indiana-mets-legacy.csv,Law Codex,,,,Laws;Codex,Q39985;Q1361,,
20240903-titles-indiana-mets-legacy.csv,Apparatus in quinque libros Decretalium,,,,,,Apparatus super libros decretalium,"Q1339"
20240903-titles-indiana-mets-legacy.csv,Glossed Canon Law,,,,,,Canon law text,"Q1415"
20240903-titles-indiana-mets-legacy.csv,"Breviary, Psalter",,,,,,Breviary;Psalter,"Q657;Q660"
20240903-titles-indiana-mets-legacy.csv,Hours of the Virgin,,,,,,Hours of the Virgin,"Q8278"
20240903-titles-indiana-mets-legacy.csv,De intellectu,,,,,,De intellectu,"Q1413"
20240903-titles-indiana-mets-legacy.csv,Breviary,,,,,,Breviary,"Q657"
20240903-titles-indiana-mets-legacy.csv,Missale estivalis quem comparavit Johannes laicus de rastorf quondam mrg’ coq’ne felicis memorie qui obit in vigilia s. margarethe ac cuius anniversarium datur dominis xxx solidi annuatim ad caritatem.,,,,,,Missal,"Q662"
20240903-titles-indiana-mets-legacy.csv,Summer Missale,,,,,,Missal,"Q662"
20240903-titles-indiana-mets-legacy.csv,Väterbuch,,,,,,Apophthegmata patrum,"Q1393"
20240903-titles-indiana-mets-legacy.csv,Lives of the fathers,,,,,,Lives of the Fathers,"Q1429"
